County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotingRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
,VILLAGE OF Maine,Wards 1-4,MAINE MUNICIPAL CENTER,"6111 N 44TH AVE, WAUSAU, WI 54401-8832",(715) 675-5607,,Government,-89.692009,45.0282,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,CITY OF ADAMS,Ward 1,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",608-339-6516,,Government,-89.818062,43.957963,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,CITY OF ADAMS,Ward 2,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",608-339-6516,,Government,-89.818062,43.957963,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,CITY OF ADAMS,Ward 3,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",608-339-6516,,Government,-89.818062,43.957963,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,CITY OF ADAMS,Ward 4,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",608-339-6516,,Government,-89.818062,43.957963,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,CITY OF WISCONSIN DELLS,"Wards 5,9",WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",608-254-2012,,Government,-89.775002,43.624787,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Adams,Wards 1-3,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",608-339-9607,,Government,-89.797287,43.969578,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Big Flats,Wards 1-2,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",608-564-7754,,Government,-89.798856,44.112347,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Colburn,Ward 1,COLBURN TOWN HALL,"198 COUNTY ROAD C, HANCOCK, WI 54943",(715) 249-5998,,Government,-89.617282,44.112258,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Dell Prairie,Wards 1-3,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981",(608) 254-2618,,Government,-89.731274,43.707364,2020 Spring Election and Presidential Preference Vote
