County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotingRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
ADAMS COUNTY,CITY OF ADAMS,Wards 1-4,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",608-339-6516,,Government,-89.818062,43.957963,2020 Spring Primary
ADAMS COUNTY,CITY OF WISCONSIN DELLS,"Wards 5,9",WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",608-254-2012,,Government,-89.775002,43.624787,2020 Spring Primary
ADAMS COUNTY,TOWN OF Adams,Wards 1-3,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",608-339-9607,,Government,-89.797287,43.969578,2020 Spring Primary
ADAMS COUNTY,TOWN OF Big Flats,Wards 1-2,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",608-564-7754,,Government,-89.798856,44.112347,2020 Spring Primary
ADAMS COUNTY,TOWN OF Colburn,Ward 1,COLBURN TOWN HALL,"198 COUNTY ROAD C, HANCOCK, WI 54943",(715) 249-5998,,Government,-89.617282,44.112258,2020 Spring Primary
ADAMS COUNTY,TOWN OF Dell Prairie,Wards 1-3,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981",(608) 254-2618,,Government,-89.731274,43.707364,2020 Spring Primary
ADAMS COUNTY,TOWN OF Easton,Wards 1-2,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784",(608) 584-5069,,Government,-89.809535,43.837756,2020 Spring Primary
ADAMS COUNTY,TOWN OF Jackson,Wards 1-2,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD, WI 53952",608-586-4842,,Government,-89.658653,43.77444,2020 Spring Primary
ADAMS COUNTY,TOWN OF Leola,Ward 1,PONDEROSA PINES,"287 STATE ROAD 73, PLAINFIELD, WI 54966",(715) 335-4732,,Government,-89.636674,44.239011,2020 Spring Primary
ADAMS COUNTY,TOWN OF Lincoln,Ward 1,LINCOLN TOWN HALL,"2181 COUNTY ROAD G, GRAND MARSH, WI 53936-9641",608-477-0514,,Government,-89.628161,43.94087,2020 Spring Primary
ADAMS COUNTY,TOWN OF MONROE,Ward 1,MONROE TOWN HALL,"981 COUNTY ROAD Z, ARKDALE, WI 54613-7701",608-564-2417,,Government,-89.940529,44.114897,2020 Spring Primary
ADAMS COUNTY,TOWN OF NEW CHESTER,Wards 1-3,NEW CHESTER TOWN HALL,"629 MASON ST, GRAND MARSH, WI 53936-9576",(608) 369-2020,,Government,-89.704273,43.885825,2020 Spring Primary
ADAMS COUNTY,TOWN OF NEW HAVEN,Ward 1,NEW HAVEN TOWN HALL,"330 GOLDEN CT, WISCONSIN DELLS, WI 53965-8616",(608) 253-4064,,Government,-89.644547,43.669711,2020 Spring Primary
ADAMS COUNTY,TOWN OF PRESTON,Wards 1-2,PRESTON TOWN HALL,"1801 11TH AVE, FRIENDSHIP, WI 53934",608-339-6298,,Government,-89.79775,43.996011,2020 Spring Primary
ADAMS COUNTY,TOWN OF QUINCY,Wards 1-3,QUINCY TOWN HALL,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617",608-339-7230,,Government,-89.938629,43.876672,2020 Spring Primary
