"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"ANDERSON","94334","1ST BAPTIST NECHES","152"
"ANDERSON","5342","ANTIOCH BAPTIST CHURCH BOX 15","139"
"ANDERSON","12261","ANTIOCH BAPTIST CHURCH BOX 8","6"
"ANDERSON","16266","CAYUGA HIGH SCHOOL","148"
"ANDERSON","5344","DAV POST","80"
"ANDERSON","25633","FIRST BAPTIST CHURCH","403"
"ANDERSON","5345","FRANKSTON COURTHOUSE ANNEX","386"
"ANDERSON","30986","FREEDOM FELLOWSHIP CHURCH","79"
"ANDERSON","14624","HARMONY BAPTIST CHURCH","82"
"ANDERSON","5348","LONE PINE CHURCH ED. BLD.","231"
"ANDERSON","5349","MONTALBA COMM CENTR","226"
"ANDERSON","32180","NEW FELLOWSHIP","50"
"ANDERSON","14628","PALESTINE HIGH SCHOOL","150"
"ANDERSON","5340","PISD ADMIN OFFICE","136"
"ANDERSON","5350","PISGAH BAPTIST CHURCH","236"
"ANDERSON","5331","SLOCUM HIGH SCHOOL","307"
"ANDERSON","14633","SWANSON HILL","114"
"ANDERSON","5338","TENN COLONY COMM CENTER","212"
"ANDERSON","14638","TUCKER COMM","142"
"ANDERSON","5334","WASHIGNTON EARLY CHILD","15"
"ANDERSON","5346","WESTWOOD JR. HIGH","228"
"ANDREWS","5352","JAMES ROBERTS CENTER","1015"
"ANGELINA","32902","BETHEL ASSEMBLY OF GOD","331"
"ANGELINA","30072","BURKE COMMUNITY CENTER","165"
"ANGELINA","5365","CHAMBERS PARK COMMUNITY CENTER","122"
"ANGELINA","24541","COMMUNITY SERVICES MEETING RM 104","226"
"ANGELINA","5360","CROSS ROAD BAPTIST CHURCH","234"
"ANGELINA","30071","DENMAN AVE BAPTIST CHURCH","74"
"ANGELINA","25359","DIBOLL CITY HALL","175"
"ANGELINA","30067","EMANUEL ASSEMBLY OF GOD","63"
"ANGELINA","5378","FAIRVIEW BAPTIST CHURCH","280"
"ANGELINA","5376","FELLOWSHIP HALL","272"
"ANGELINA","5390","FELLOWSHIP HALL","217"
"ANGELINA","94115","FIRST CHRISTIAN CHURCH","62"
"ANGELINA","5380","FIRST ORA MISSIONARY BAPTIST CHURCH","112"
"ANGELINA","5364","FULLER SPRINGS BAPTIST CHURCH","159"
"ANGELINA","5371","GREATER SHILOH BAPTIST CHURCH","17"
"ANGELINA","5389","HARMONY HILL BAPTIST CHURCH","238"
"ANGELINA","17402","HUNTINGTON CIVIC CENTER","131"
"ANGELINA","30066","LIFE GATE CHURCH GT (GLAD TIDINGS)","31"
"ANGELINA","94114","LIFE POINT CHURCH","235"
"ANGELINA","30068","LUFKIN RESTORATION CENTER","244"
"ANGELINA","30073","LUFKIN SHRINE CLUB","150"
"ANGELINA","5379","O'QUINN BAPTIST CHURCH","353"
"ANGELINA","91021","OLD ZAVALLA CITY HALL (POLICE DEPT)","278"
"ANGELINA","5353","POLLOK BAPTIST CHURCH","270"
"ANGELINA","5357","REDLAND SCHOOL  ACE CAMPUS","93"
"ANGELINA","5383","SALEM BAPTIST CHURCH","205"
"ANGELINA","30075","SOUTHSIDE BAPTIST CHURCH","57"
"ANGELINA","5366","ST PAUL'S METHODIST CHURCH","206"
"ANGELINA","94113","THOMAS CROSSING PENTECOSTAL CHURCH","229"
"ANGELINA","5375","WOODLAWN  BAPTIST CHURCH","316"
"ARANSAS","89622","FULTON VOLUNTEER FIRE DEPT","391"
"ARANSAS","5391","ROCKPORT G.I. FORUM","198"
"ARANSAS","91384","ROCKPORT SERVICE CENTER","124"
"ARANSAS","90180","ROCKPORT VOLUNTEER FIRE DEPT","652"
"ARCHER","5402","ARCHER ACTIVITY BUILDING","231"
"ARCHER","5403","CITY HALL","67"
"ARCHER","14876","COMMUNITY CENTER","360"
"ARCHER","13072","KNIGHTS OF COLUMBUS HALL","246"
"ARCHER","5400","KNIGHTS OF COLUMBUS HALL","160"
"ARMSTRONG","90215","BASEMENT","114"
"ARMSTRONG","90217","FIRESTATION","53"
"ARMSTRONG","90214","LOBBY","146"
"ARMSTRONG","90219","WAYSIDE COMMUNITY CENTER","25"
"ATASCOSA","91239","BOARD ROOM REPUBLICAN","31"
"ATASCOSA","94158","LOBBY REP","66"
"ATASCOSA","89302","LYTLE, TX.","172"
"ATASCOSA","89304","PLEASANTON","314"
"ATASCOSA","32403","REP LOBBY","188"
"ATASCOSA","16728","REP PARTY","85"
"ATASCOSA","16707","REP PARTY","153"
"ATASCOSA","16690","REP PARTY","349"
"ATASCOSA","16744","REP PARTY","62"
"ATASCOSA","25211","REPUBLICAN","199"
"ATASCOSA","88914","REPUBLICAN","99"
"ATASCOSA","22222","REPUBLICAN","45"
"ATASCOSA","25206","REPUBLICAN PARTY","118"
"ATASCOSA","5423","ROSSVILLE HISTORICAL COMMUNITY BLDG.","117"
"ATASCOSA","5435","VERDI COMMUNITY BUILDING","127"
