HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes,Complete
1,ADAMS COUNTY,"2,166.33","5,711.95",0.00,"7,860.12",0.00,0.00,116.20,507.50,"County Clerk staff wages for running/assembling ballots/notices, etc.",1
2,ASHLAND COUNTY,,,,,,,,,,0
3,BARRON COUNTY,"2,192.57","3,164.57",0.00,"23,196.50",200.00,0.00,131.32,0.00,,1
4,BAYFIELD COUNTY,900.00,"2,500.00",50.00,"4,592.08",0.00,0.00,500.00,0.00,,1
5,BROWN COUNTY,"7,572.00","29,498.00",0.00,"26,900.00",0.00,0.00,0.00,"4,125.00",Above cost covers canvassing activity. ,1
6,BUFFALO COUNTY,529.20,673.23,0.00,"5,400.00",0.00,0.00,0.00,0.00,,1
7,BURNETT COUNTY,"2,764.05",380.23,0.00,"6,820.01",104.76,0.00,65.12,15.12,$15.12 Election night employee mileage reimbursement,1
8,CALUMET COUNTY,"5,206.61","8,613.33",0.00,"7,950.88",0.00,0.00,200.00,0.00,,1
9,CHIPPEWA COUNTY,"1,500.00","7,951.46",0.00,0.00,0.00,0.00,"1,500.00",0.00,,1
10,CLARK COUNTY,"2,178.00","4,562.00",0.00,"14,988.00","1,689.00",108.00,48.00,189.00,Clerk Mileage = $189.00,1
11,COLUMBIA COUNTY,528.72,"5,407.22",0.00,0.00,573.55,0.00,110.00,214.25,"Postage, Supplies (Seals, Ballot Bags, Envelopes, File Folders, Bankers Boxes)",1
12,CRAWFORD COUNTY,"1,454.08",0.00,0.00,"7,542.25",0.00,0.00,0.00,0.00,,1
13,DANE COUNTY,951.90,"59,432.57",0.00,0.00,165.77,0.00,"1,573.55",270.00,,1
14,DODGE COUNTY,"4,500.00","1,500.00",254.00,"2,829.00",450.00,0.00,322.00,0.00,,1
16,DOUGLAS COUNTY,484.70,"3,946.40",0.00,506.26,0.00,0.00,80.00,0.00,,1
17,DUNN COUNTY,"2,403.12","9,831.10",0.00,"27,177.86",486.60,0.00,131.34,0.00,,1
18,EAU CLAIRE COUNTY,904.00,"6,483.00",0.00,0.00,0.00,0.00,300.00,0.00,,1
19,FLORENCE COUNTY,"1,933.00",400.00,53.00,"4,564.00",0.00,0.00,150.00,0.00,,1
20,FOND DU LAC COUNTY,"2,039.24","11,336.95",0.00,0.00,0.00,0.00,0.00,0.00,,1
21,FOREST COUNTY,30.00,0.00,8.00,100.00,0.00,"1,290.00",0.00,0.00,,1
22,GRANT COUNTY,"9,174.33",982.28,5.39,"33,703.36",454.76,"6,903.26",260.00,0.00,,1
23,GREEN COUNTY,"1,700.00","3,410.00",300.00,"10,900.00","1,720.00",0.00,210.00,0.00,,1
24,GREEN LAKE COUNTY,"1,789.84",0.00,0.00,"12,315.50",0.00,0.00,654.00,0.00,,1
25,IOWA COUNTY,920.00,100.00,75.00,"15,010.00",125.00,0.00,100.00,0.00,,1
