HINDI,County,Municipality,Reporting Unit,Registrants,Late Registrants,Election Day Registrants,Total Ballots,Total Voters,Paper Ballots,Optical Scan Ballots,DRE,Auto-Mark,Ballots Counted At,Total Election Inspectors,Split Shifts?,Difficulty Obtaining?,16-17,18-25,26-40,41-60,61-70,71+,Polling Place Name,Shared?,Provisional - No DL,Provisional - No POR,Counted,Rejected,Absentee Issued,Absentee In-Person,Absentee Not Returned,Absentee Undeliverable,Received By Election Day,Received By Friday,Absentee Counted,Absentee Rejected,Abssentee Late,FWAB Received,FWAB Counted,FWAB Rejected,FWAB Late,Military Issued,Military Unreturned,Military Undeliverable,Military By Election Day,Military By Friday,Military Counted,Military Rejected,Military Late,Overseas Issued,Overseas Unreturned,Overseas Undeliverable,Overseas By Election Day,Overseas By Friday,Overseas Counted,Overseas Rejected,Overseas Late
1002,ADAMS COUNTY,TOWN OF ADAMS,Ward 1,476,0,24,298,298,298,0,0,0,Polling Place,10,Yes,3 Neither difficult nor easy,0,0,2,0,8,0,Town hall,Yes,0,0,0,0,21,0,3,1,18,0,18,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,ADAMS COUNTY,TOWN OF ADAMS,Ward 3,48,0,3,26,26,26,0,0,0,Polling Place,10,Yes,3 Neither difficult nor easy,0,0,2,0,8,0,Town hall,Yes,0,0,0,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,ADAMS COUNTY,TOWN OF ADAMS,Ward 2,189,0,21,109,109,109,0,0,0,Polling Place,10,Yes,3 Neither difficult nor easy,0,0,2,0,8,0,Town hall,Yes,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,ADAMS COUNTY,TOWN OF BIG FLATS,Ward 1-2,563,0,36,348,348,18,0,330,0,Polling Place,2,Yes,5 Very easy,0,0,0,0,7,0,Town of Big Flats Hall,No,0,0,0,0,10,4,2,0,8,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,ADAMS COUNTY,TOWN OF COLBURN,Ward 1,148,0,6,82,82,0,0,0,0,Polling Place,6,Yes,4 Somewhat easy,0,0,0,0,4,2,Colburn Town Hall,No,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,ADAMS COUNTY,TOWN OF DELL PRAIRIE,Ward 1-3,993,0,67,570,570,570,0,0,0,Polling Place,5,Yes,5 Very easy,0,0,0,3,0,2,Town of Dell Prairie,No,0,0,0,0,29,9,1,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,ADAMS COUNTY,TOWN OF EASTON,Ward 1-2,567,0,41,339,339,66,0,273,0,Polling Place,3,No,3 Neither difficult nor easy,0,0,0,0,1,2,Easton Town Hall,No,0,0,0,0,11,5,0,0,2,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,ADAMS COUNTY,TOWN OF JACKSON,Ward 1-2,649,2,50,425,425,425,0,0,0,Polling Place,9,Yes,2 Somewhat difficult,0,0,0,2,5,2,Jackson Town Hall,Yes,0,0,0,0,25,5,2,0,23,2,22,3,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,2,2,0,0
1014,ADAMS COUNTY,TOWN OF LEOLA,Ward 1,162,0,9,104,104,104,0,0,0,Polling Place,7,Yes,3 Neither difficult nor easy,0,0,1,2,2,2,Ponderosa Pines,No,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,ADAMS COUNTY,TOWN OF LINCOLN,Ward 1,204,0,5,134,134,8,0,126,0,Polling Place,9,Yes,3 Neither difficult nor easy,0,0,0,1,1,0,Lincoln Town Hall,No,0,0,0,0,11,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
