HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes
1002,TOWN OF ADAMS - ADAMS COUNTY,$0.00,$0.00,$20.00,$0.00,$40.00,$450.00,$0.00,$0.00,
1004,TOWN OF BIG FLATS - ADAMS COUNTY,$136.00,$0.00,$14.00,$135.00,$30.00,$699.07,$100.00,$0.00,
1006,TOWN OF COLBURN - ADAMS COUNTY,$0.00,$0.00,$1.47,$270.00,$95.00,$450.00,$135.00,$0.00,
1008,TOWN OF DELL PRAIRIE - ADAMS COUNTY,$75.00,$40.00,$189.05,$0.00,$100.00,"$1,273.00",$75.00,$0.00,
1010,TOWN OF EASTON - ADAMS COUNTY,$10.53,$11.80,$61.12,$45.00,$0.00,$925.00,$0.00,$0.00,
1012,TOWN OF JACKSON - ADAMS COUNTY,$0.00,$0.00,$72.68,$0.00,$0.00,"$1,507.41",$0.00,$60.00,port-a-potty rental
1014,TOWN OF LEOLA - ADAMS COUNTY,$0.00,$0.00,$6.00,$0.00,$130.00,$621.00,$0.00,$0.00,
1016,TOWN OF LINCOLN - ADAMS COUNTY,$34.80,$0.00,$7.84,$332.75,$30.00,$512.95,$0.00,$60.00,porta potty rental
1018,TOWN OF MONROE - ADAMS COUNTY,$0.00,$0.00,$14.27,$0.00,$47.00,$696.00,$0.00,$0.00,
1020,TOWN OF NEW CHESTER - ADAMS COUNTY,$8.30,$0.00,$21.50,$5.40,$0.00,$779.25,$35.00,$0.00,
1022,TOWN OF NEW HAVEN - ADAMS COUNTY,$0.00,$0.00,$42.00,$270.00,$100.00,$900.00,$0.00,$0.00,
1024,TOWN OF PRESTON - ADAMS COUNTY,$0.00,$40.00,$40.00,$0.00,$120.00,"$2,496.00",$0.00,$61.00,"mileage - several trips print additional forms, ballots and misc (110 mi. @ .56)"
1026,TOWN OF QUINCY - ADAMS COUNTY,$10.53,$0.00,$181.09,$0.00,$214.36,$846.80,$65.25,$831.60,Early voting hours spent - 30 hrs.     $710.00 Mileage to courthouse to pickup election materials & posting notices - $44.55 New handicap sign for parking lot - $43.00 Chalk for ramp & flashlight - $18.07 Clock - $7.99 Pens - $7.99
1028,TOWN OF RICHFIELD - ADAMS COUNTY,$0.00,$0.00,$0.00,$0.00,$175.00,$450.00,$25.00,$120.00,
1030,TOWN OF ROME - ADAMS COUNTY,$362.52,$0.00,$917.18,$207.70,$0.00,"$6,834.04",$0.00,$0.00,
1032,TOWN OF SPRINGVILLE - ADAMS COUNTY,$0.00,$0.00,$46.70,$0.00,$0.00,"$1,553.24",$0.00,$0.00,
1034,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,$43.95,$2.45,$46.06,$100.00,$50.00,$652.25,$0.00,$0.00,
1126,VILLAGE OF FRIENDSHIP - ADAMS COUNTY,$0.00,$0.00,$9.40,$0.00,$0.00,$588.65,$35.40,$451.98,Clerk wages 
1201,CITY OF ADAMS - ADAMS COUNTY,$45.53,"$1,631.86",$83.82,$561.79,$22.00,"$2,019.04",$0.00,$0.00,
2002,TOWN OF AGENDA - ASHLAND COUNTY,$52.09,$0.00,$9.40,$0.00,$33.00,$569.36,$0.00,$0.00,
2004,TOWN OF ASHLAND - ASHLAND COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$780.00,$0.00,$0.00,
2006,TOWN OF CHIPPEWA - ASHLAND COUNTY,$15.00,$200.00,$15.00,$0.00,$200.00,$200.00,$0.00,$20.00,
2008,TOWN OF GINGLES - ASHLAND COUNTY,$216.00,$0.00,$10.00,$0.00,$0.00,"$1,260.00",$0.00,$67.00,
2010,TOWN OF GORDON - ASHLAND COUNTY,$0.00,$0.00,$11.28,$358.87,$0.00,$466.00,$0.00,$0.00,
2012,TOWN OF JACOBS - ASHLAND COUNTY,$0.00,$0.00,$18.00,$0.00,$40.00,"$1,400.00",$0.00,$0.00,
2014,TOWN OF LA POINTE - ASHLAND COUNTY,$12.00,$0.00,$35.00,$0.00,$65.00,$470.00,$50.00,$114.00,Ferry fees
2016,TOWN OF MARENGO - ASHLAND COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$814.50,$0.00,$0.00,
2018,TOWN OF MORSE - ASHLAND COUNTY,$80.00,$0.00,$20.00,$0.00,$50.00,$850.00,$0.00,$0.00,
2020,TOWN OF PEEKSVILLE - ASHLAND COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$420.00,$0.00,$0.00,
2022,TOWN OF SANBORN - ASHLAND COUNTY,$450.00,$0.00,$0.00,$200.00,$0.00,"$1,575.00",$0.00,$0.00,
2024,TOWN OF SHANAGOLDEN - ASHLAND COUNTY,$0.00,$0.00,$15.00,$350.00,$100.00,$400.00,$0.00,$0.00,
2026,TOWN OF WHITE RIVER - ASHLAND COUNTY,$100.00,$0.00,$0.00,$0.00,$0.00,$660.00,$0.00,$0.00,
2106,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,$15.00,$150.00,$10.00,$0.00,$150.00,$200.00,$0.00,$15.00,
2201,CITY OF ASHLAND - MULTIPLE COUNTIES,$190.00,$0.00,$780.00,"$2,790.00",$150.00,"$10,400.00",$0.00,$0.00,
2251,CITY OF MELLEN - ASHLAND COUNTY,$0.00,$48.75,$21.62,$0.00,$0.00,$497.70,$0.00,$0.00,
3002,TOWN OF ALMENA - BARRON COUNTY,$74.43,$0.00,$129.60,$0.00,$0.00,$665.50,$0.00,$116.46,Election results delivery & recount costs
3004,TOWN OF ARLAND - BARRON COUNTY,$50.00,$0.00,$20.00,$500.00,$50.00,$700.00,$150.00,$0.00,
3006,TOWN OF BARRON - BARRON COUNTY,$0.00,$500.00,$26.00,$810.00,$0.00,$750.00,$0.00,$0.00,
3008,TOWN OF BEAR LAKE - BARRON COUNTY,$9.65,$0.00,$46.00,$30.00,$56.30,$842.83,$0.00,$0.00,
3010,TOWN OF CEDAR LAKE - BARRON COUNTY,$32.23,$75.94,$94.00,$0.00,$0.00,"$1,742.50",$0.00,$0.00,
3012,TOWN OF CHETEK - BARRON COUNTY,$75.00,$45.00,$90.00,$970.00,$95.00,"$1,300.00",$50.00,$250.00,Purchase of consolidation cartridge and programming of cartridge.
3014,TOWN OF CLINTON - BARRON COUNTY,$7.00,$0.00,$0.00,$405.00,$0.00,$420.00,$200.00,$0.00,
3016,TOWN OF CRYSTAL LAKE - BARRON COUNTY,$0.00,$500.00,$26.00,$810.00,$0.00,$750.00,$0.00,$0.00,
3018,TOWN OF CUMBERLAND - BARRON COUNTY,$68.00,$9.00,$83.00,$96.00,$28.00,$792.00,$0.00,$0.00,
3020,TOWN OF DALLAS - BARRON COUNTY,$12.00,$0.00,$24.95,$500.00,$40.00,$890.16,$0.00,$0.00,
3022,TOWN OF DOVRE - BARRON COUNTY,$10.00,$0.00,$19.00,$110.00,$0.00,"$1,288.00",$0.00,$0.00,
3024,TOWN OF DOYLE - BARRON COUNTY,$190.00,$5.00,$26.00,$225.00,$0.00,"$1,079.10",$0.00,$0.00,
3026,TOWN OF LAKELAND - BARRON COUNTY,$26.99,$0.00,$28.61,$810.00,$0.00,"$1,500.00",$0.00,$134.99,"ballot paper rolls, pens, tape, duct tape, elec. ext cords, voting machine seals"
3028,TOWN OF MAPLE GROVE - BARRON COUNTY,$38.09,$9.37,$21.76,$810.00,$0.00,$823.00,$0.00,$23.51,Misc telephone 23.51
3030,TOWN OF MAPLE PLAIN - BARRON COUNTY,$250.51,$55.00,$42.62,$250.00,$15.00,"$2,101.50",$0.00,"$1,310.00",810.00 for Machine Maint. 500.00  County Relier
3032,TOWN OF OAK GROVE - BARRON COUNTY,$40.00,$10.00,$55.19,$40.00,$20.00,$865.00,$100.00,$0.00,
3034,TOWN OF PRAIRIE FARM - BARRON COUNTY,$53.20,$0.00,$8.00,$810.00,$0.00,$900.00,$0.00,$0.00,
3036,TOWN OF PRAIRIE LAKE - BARRON COUNTY,$75.00,$35.00,$92.00,$970.00,$92.00,"$1,220.00",$64.00,$0.00,
3038,TOWN OF RICE LAKE - BARRON COUNTY,$19.40,$4.00,"$1,915.92",$125.30,$700.16,"$2,706.92",$593.76,$0.00,
3040,TOWN OF SIOUX CREEK - BARRON COUNTY,$19.00,$10.00,$18.00,$200.00,$10.00,"$1,080.00",$0.00,$0.00,
3042,TOWN OF STANFOLD - BARRON COUNTY,$22.34,$0.00,$12.49,$0.00,$19.00,"$1,289.50",$0.00,$79.25,town hall heat/electric
3044,TOWN OF STANLEY - BARRON COUNTY,$15.90,$0.00,$122.50,$0.00,$45.00,"$1,063.13",$0.00,$0.00,
3046,TOWN OF SUMNER - BARRON COUNTY,$16.00,$5.00,$18.00,$50.00,$20.00,"$1,051.91",$0.00,$0.00,
3048,TOWN OF TURTLE LAKE - BARRON COUNTY,$65.81,$0.00,$21.19,$64.50,$121.64,$652.50,$96.80,$6.00,Copies and Post it Notes
3050,TOWN OF VANCE CREEK - BARRON COUNTY,$173.09,$0.00,$26.80,$128.00,$60.00,$750.61,$0.00,$67.50,Mileage to  pick up and  return all voting supplies needed
3101,VILLAGE OF ALMENA - BARRON COUNTY,$16.49,$0.00,$42.94,$0.00,$0.00,$760.50,$387.50,$0.00,
3111,VILLAGE OF CAMERON - BARRON COUNTY,$57.09,$7.50,$37.60,$134.65,$453.30,$919.16,$575.79,$305.95,Crowd control materials. Posts and chain.
3116,VILLAGE OF DALLAS - BARRON COUNTY,$13.30,$0.00,$7.80,$0.00,$0.00,$740.00,$0.00,$0.00,
3136,VILLAGE OF HAUGEN - BARRON COUNTY,$30.84,$0.00,$0.00,$415.00,$85.00,$580.00,$0.00,$0.00,
3171,VILLAGE OF PRAIRIE FARM - BARRON COUNTY,$30.00,$2.00,$3.60,$300.00,$0.00,$500.00,$300.00,$0.00,none
3186,VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES,$100.00,$15.00,$75.00,$47.00,$65.00,"$1,090.00",$60.00,$0.00,
3206,CITY OF BARRON - BARRON COUNTY,$90.00,$160.00,$165.00,"$1,380.00",$160.00,"$1,725.00",$200.00,$0.00,
3211,CITY OF CHETEK - BARRON COUNTY,$15.00,$12.50,$10.00,$70.00,$65.00,"$1,900.00",$800.00,$0.00,
3212,CITY OF CUMBERLAND - BARRON COUNTY,$107.22,$23.10,$68.63,$100.35,$10.00,"$1,226.40",$950.59,$0.00,
