"","ObjectID","full_addr","County"
"1027",1027,"N8887 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"1770",1770,"11820 306, WILMOT WI 53192","Kenosha County"
"3084",3084,"2823 COUNTY ROAD Q, NELSONVILLE WI 54458","Portage County"
"3393",3393,"175 W POLK ST, WYOCENA WI 53969","Columbia County"
"3624",3624,"N3494 CHURCH ST, PACKWAUKEE WI 53953","Marquette County"
"3628",3628,"N3496 LIBERTY ST, PACKWAUKEE WI 53953","Marquette County"
"4812",4812,"2 HILL AVE, GILE WI 54525","Iron County"
"6980",6980,"N4979 COUNTY HIGHWAY WS, WOODLAND WI 53099","Dodge County"
"8788",8788,"N557 STATION ST, ZENDA WI 53195","Walworth County"
"9205",9205,"9766 MUSCALLOUNGE RD, BEETOWN WI 53802","Grant County"
"9386",9386,"7214 S WISCONSIN AVE, HAWTHORNE WI 54842","Douglas County"
"9395",9395,"6933 S FARMER LN, HAWTHORNE WI 54842","Douglas County"
"9583",9583,"321 SLATE AVE, MATTOON WI 54450","Shawano County"
"9585",9585,"103 NORTH AVE, MATTOON WI 54450","Shawano County"
"9594",9594,"321 MARBLE AVE, MATTOON WI 54450","Shawano County"
"9606",9606,"1303 5TH ST, MATTOON WI 54450","Shawano County"
"9623",9623,"337 WEST AVE, SENECA WI 54654","Crawford County"
"9638",9638,"206 MAIN ST, SENECA WI 54654","Crawford County"
"10154",10154,"5805 ERIE ST, BUTTE DES MORTS WI 54927-9308","Winnebago County"
"10162",10162,"5056 WASHINGTON ST, BUTTE DES MORTS WI 54927","Winnebago County"
"11030",11030,"W282N6940 MAIN ST, MERTON WI 53056","Waukesha County"
"11123",11123,"3632 PINE ST, KIELER WI 53812","Grant County"
"12854",12854,"7820 CLINTON RD, MORRISONVILLE WI 53571","Dane County"
"13489",13489,", Active"," "
"14406",14406,"S42W31255 NORTH ST, GENESEE DEPOT WI 53127-9802","Waukesha County"
"19233",19233,"201 GRANT ST, WYOCENA WI 53969","Columbia County"
"21202",21202,"35 PENNSYLVANIA AVE, GILE WI 54525-9702","Iron County"
"21369",21369,"31 DIVISION ST, GILE WI 54525-9705","Iron County"
"21672",21672,"W6007 MAIN ST, PACKWAUKEE WI 53953","Marquette County"
"21729",21729,"2 OSHKOSH AVE APT 3, GILE WI 54525","Iron County"
"23384",23384,"919 STARLIGHT DR, FRANCIS CREEK WI 54214","Manitowoc County"
"23867",23867,"W314S4174 HIGHWAY 83, GENESEE DEPOT WI 53127","Waukesha County"
"25317",25317,"175 DROESSLER DR, DICKEYVILLE WI 53808-6825","Grant County"
"26397",26397,"1214 KBA LN, KELLNERSVILLE WI 54215","Manitowoc County"
"31253",31253,"551 MAIN ST, UNION CENTER WI 53962","Juneau County"
"33062",33062,"585 COUNTY ROAD Z, SINSINAWA WI 53824-9701","Grant County"
"36724",36724,"5161 WASHINGTON ST, BUTTE DES MORTS WI 54927-9327","Winnebago County"
"36839",36839,"108 PARKWAY RD, FRANCIS CREEK WI 54214","Manitowoc County"
"37834",37834,"11215 FOX RIVER RD BOX 245, WILMOT WI 53192","Kenosha County"
"38247",38247,"W9684 DEGAL AVE, DALE WI 54931","Outagamie County"
"39329",39329,"7278 S WISCONSIN AVE, HAWTHORNE WI 54842","Douglas County"
"43881",43881,"23 OSHKOSH AVE, GILE WI 54525","Iron County"
"43894",43894,"S43W31131 HIGHWAY 83, GENESEE DEPOT WI 53127","Waukesha County"
"44281",44281,"434 4TH ST, BROKAW WI 54417-9705","Marathon County"
"44354",44354,"N1003 WHITNEY ST, DALE WI 54931","Outagamie County"
"49402",49402,"506 MAIN ST APT 4, CLYMAN WI 53016","Dodge County"
"50647",50647,"208 S MAIN ST, DICKEYVILLE WI 53808-6837","Grant County"
"50851",50851,"450 SKARE RD APT 2, WYOCENA WI 53969","Columbia County"
"50959",50959,"2674 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"52262",52262,"304 MAIN ST, MOUNT STERLING WI 54645","Crawford County"
"53265",53265,"148 MAIN ST, SENECA WI 54654","Crawford County"
"55379",55379,"N5007 COUNTY ROAD WS, WOODLAND WI 53099-8702","Dodge County"
"56633",56633,"5137 ISLAND RD, BUTTE DES MORTS WI 54927-9312","Winnebago County"
"57017",57017,"3075 DAENTL RD, EDMUND WI 53535","Iowa County"
"59777",59777,"4054 LOIS LN, STAR LAKE WI 54561-9714","Vilas County"
"60903",60903,"509 PARK AVE, BROKAW WI 54417-9711","Marathon County"
"61225",61225,"W282N6973 MAIN ST, MERTON WI 53056","Waukesha County"
"62442",62442,"E9128 DANKE DR, READFIELD WI 54969","Waupaca County"
"65716",65716,"105 EMIL ST, DICKEYVILLE WI 53808","Grant County"
"65845",65845,"73324 BUTTERFIELD RD, ODANAH WI 54861","Ashland County"
"66274",66274,"109 2ND ST, FRIESLAND WI 53935-9724","Columbia County"
"66745",66745,"W9757 HIGH ST, DALE WI 54931","Outagamie County"
"68559",68559,"175 S MAIN ST, DICKEYVILLE WI 53808","Grant County"
"68738",68738,"310 S MAIN ST, DICKEYVILLE WI 53808-6838","Grant County"
"69335",69335,"219 S MAIN ST, DICKEYVILLE WI 53808-6837","Grant County"
