ballotissueweek,ballotissueweek2,bymail,electionday,rejected,returned,cancelled,lateballot,reason_returnedlate,reason_signature,reason_address,reason_other,issued,cumulative_issued
3/4,21978,.99983329,.00016673614,.0005477051,.76106709,.084952064,0,.40000001,.60000002,0,0,11995,11995
3/11,21985,.99972498,.0002750275,0,.64438945,.15639897,0,,,,,10908,22903
3/18,21992,1,0,.0021739129,.67488265,.2133216,0,.40000001,.40000001,0,.2,3408,26311
3/25,21999,.95959598,.04040404,.017241379,.58585858,.27777779,.02020202,.5,.5,0,0,198,26509
4/1,22006,.98126954,.01873049,.017817372,.46722165,.12903225,.021852238,.625,.375,0,0,961,27470
4/8,22013,.95238096,.047619049,.0089686103,.79642856,.16071428,.0047619049,.16666667,.33333334,0,.5,840,28310
4/15,22020,.95836377,.04163621,.0044299951,.83916998,.069712475,.0080204485,.62189472,.37305263,0,.0050526317,638867,667177
4/22,22027,.95099866,.049001347,.0070649073,.79978204,.069663726,.010778556,.59088111,.39802834,0,.011090573,287237,954414
4/29,22034,.94684845,.053151555,.0082518021,.77562833,.070835732,.010649215,.63080168,.36497891,0,.0042194091,222176,1176590
5/6,22041,.94403678,.055963192,.0090448391,.76030713,.070654415,.011087508,.67769897,.31757289,0,.0047281324,184532,1361122
5/13,22048,.94324082,.056759186,.013632299,.75222737,.07955052,.015053162,.74355197,.25202653,0,.0044215182,132331,1493453
5/20,22055,.93480313,.065196849,.026542759,.70712364,.088750407,.027422547,.84264356,.15263572,0,.0047206925,67718,1561171
5/27,22062,.89553344,.10446656,.043400612,.59414601,.084446132,.035876594,.89363354,.10170808,0,.0046583852,49949,1611120
6/3,22069,.87458491,.12541507,.086874947,.52188164,.079778627,.057088122,.96338028,.035680752,0,.00093896716,23490,1634610
