age,year,rejected
18,2020,.012598425
19,2020,.014322544
20,2020,.015082395
21,2020,.017827569
22,2016,.16666667
22,2020,.018694391
23,2016,.38078293
23,2020,.01900365
24,2016,.37152034
24,2020,.021462183
25,2016,.35608646
25,2020,.020442121
26,2016,.37947494
26,2020,.023514852
27,2016,.40149254
27,2020,.020297529
28,2016,.33333334
28,2020,.017802708
29,2016,.34606206
29,2020,.017811395
30,2016,.30144927
30,2020,.017790368
31,2016,.30363035
31,2020,.017210349
32,2016,.31954888
32,2020,.016626809
33,2016,.32034633
33,2020,.016243881
34,2016,.25520834
34,2020,.01307769
35,2016,.31891891
35,2020,.014349019
36,2016,.27058825
36,2020,.014627521
37,2016,.27152318
37,2020,.013414634
38,2016,.29801324
38,2020,.013283639
39,2016,.29197079
39,2020,.012690355
40,2016,.27333334
40,2020,.011598858
41,2016,.31914893
41,2020,.011576775
42,2016,.25203252
42,2020,.010520014
43,2016,.16546762
43,2020,.012850946
44,2016,.29133859
44,2020,.013120744
45,2016,.28244275
45,2020,.012505899
46,2016,.18439716
46,2020,.011168639
47,2016,.2013889
47,2020,.011877474
48,2016,.22435898
48,2020,.011854468
49,2016,.19444445
49,2020,.011447541
50,2016,.21910113
50,2020,.012420733
51,2016,.20707071
51,2020,.010743538
52,2016,.1923077
52,2020,.011815718
53,2016,.1948718
53,2020,.010080962
54,2016,.21518987
54,2020,.0099226618
55,2016,.15384616
55,2020,.0084311683
56,2016,.20529801
56,2020,.0096999593
57,2016,.17041801
57,2020,.0084432922
58,2016,.20277777
58,2020,.0077840406
59,2016,.17839196
59,2020,.0092056906
60,2016,.13583139
60,2020,.0084607182
61,2016,.14285715
61,2020,.007802296
62,2016,.11133603
62,2020,.0076920525
63,2016,.13051823
63,2020,.0076771779
64,2016,.11904762
64,2020,.0079581346
65,2016,.14917128
65,2020,.0057012541
66,2016,.16447368
66,2020,.0066022775
67,2016,.14490446
67,2020,.0055979206
68,2016,.14332248
68,2020,.00544495
69,2016,.13069908
69,2020,.0053230235
70,2016,.10675675
70,2020,.0050674225
71,2016,.10941476
71,2020,.0049026473
72,2016,.13301663
72,2020,.0059325076
73,2016,.11849391
73,2020,.0048300154
74,2016,.12373737
74,2020,.0051872316
75,2016,.10662824
75,2020,.0045576105
76,2016,.10139417
76,2020,.0050369119
77,2016,.10617284
77,2020,.0054187193
78,2016,.11583012
78,2020,.005238214
79,2016,.11661807
79,2020,.0050714388
80,2016,.11989101
80,2020,.0059022373
81,2016,.092447914
81,2020,.0058183954
82,2016,.10309278
82,2020,.0067092855
83,2016,.10235132
83,2020,.0057188361
84,2016,.1
84,2020,.0055533201
85,2016,.12450852
85,2020,.0062864842
86,2016,.13947369
86,2020,.0066968887
87,2016,.11383285
87,2020,.0074312608
88,2016,.13399154
88,2020,.0067916326
89,2016,.12012012
89,2020,.0081076697
90,2016,.13050315
90,2020,.008936883
91,2016,.13432837
91,2020,.0074003343
92,2016,.14038461
92,2020,.0083184792
93,2016,.12863071
93,2020,.0045694201
94,2016,.15885417
94,2020,.0081888251
95,2016,.23
95,2020,.012032085
96,2016,.19831224
96,2020,.012280702
97,2016,.15060242
97,2020,.010638298
98,2016,.1037037
98,2020,.013384321
99,2016,.17582418
99,2020,.013586956
