"","CNTY_NAME","full_name","MCD_FIPS","OBJECTID","GEOID","CNTY_FIPS","COUSUBFP","MCD_NAME","CTV","JVTD2","LABEL","DOA","DOR","DOT","FIPS6","FIPS5","DOAChange","DOACngDate","Shape_Leng","Shape_Area","mean_logpoppskm","GOVDEM18","GOVTOT18","PERSONS","WHITE","closed","total","mcd_name1","mcd_name2","dem_pct18","dem_pct2","non_white_pct","closed_pct","HINDI","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016","turnout2016","turnout2020","diff_turnout","prov_pct2016","prov_pct2020","prov_pct_diff","abs_counted2020pct","abs_counted2016pct","diff_abs_pct","area","logppsqkm","diff_turnout_pct2","no_closed","abs_lost_pct2016","abs_not_returned_2020","not_returned_diff_pct"
"1","ADAMS","CITY OF ADAMS","5500100275",1,"5500100275","55001","00275","Adams","C","Adams - C","Adams - C","01201","01201","01201","001005","00275",NA,"2019/01/30",12280.5419014068,7618642.45127037,4.99346065074961,99,228,661,620,0,1,"ADAMS","ADAMS",43.421052631579,1885.38781163435,6.20272314674735,0,1201,"ADAMS COUNTY",330,850,0,0,0,59,59,0,518,926,0,0,0,47,42,3,0,0,55.939524838013,38.8235294117647,-17.1159954262482,0,0,0,17.8787878787879,8.10810810810811,9.77067977067977,7.61864245144653,4.46315564200294,-36.2934362934363,1,6.38297872340426,0,-100
"3","ADAMS","TOWN OF ADAMS","5500100300",2,"5500100300","55001","00300","ADAMS","T","ADAMS - T","ADAMS - T","01002","01002","01002","001010","00300",NA,"2019/01/30",64937.4152077273,130526555.952441,3.02583128230617,58,152,331,314,0,1,"ADAMS","ADAMS",38.1578947368421,1456.02493074792,5.13595166163142,0,1002,"ADAMS COUNTY",337,715,0,0,0,2,2,0,433,713,0,0,0,29,25,3,0,0,60.7293127629734,47.1328671328671,-13.5964456301062,0,0,0,0.593471810089021,5.77367205542725,-5.18020024533823,130.526555952286,0.93054167542914,-22.1709006928406,1,10.3448275862069,0,-100
"4","ADAMS","TOWN OF BIG FLATS","5500107300",3,"5500107300","55001","07300","BIG FLATS","T","BIG FLATS - T","BIG FLATS - T","01004","01004","01004","001015","07300",NA,"2019/01/30",45071.8802210227,124466979.437869,1.70900376821075,54,146,345,324,0,1,"BIG FLATS","BIG FLATS",36.986301369863,1367.98648902233,6.08695652173913,0,1004,"ADAMS COUNTY",222,551,0,0,0,0,0,0,348,563,0,0,0,10,8,2,0,0,61.8117229129662,40.2903811252269,-21.5213417877394,0,0,0,0,2.29885057471264,-2.29885057471264,124.466979437683,1.01950396170521,-36.2068965517241,1,20,0,-100
"5","ADAMS","TOWN OF COLBURN","5500116075",4,"5500116075","55001","16075","COLBURN","T","COLBURN - T","COLBURN - T","01006","01006","01006","001020","16075",NA,"2019/01/30",40846.5674047989,92905780.1570926,0.87480411209987,40,105,223,217,0,1,"COLBURN","COLBURN",38.0952380952381,1451.24716553288,2.69058295964126,0,1006,"ADAMS COUNTY",72,136,0,0,0,0,0,0,82,148,0,0,0,2,0,0,0,2,55.4054054054054,52.9411764705882,-2.46422893481716,0,0,0,0,0,0,92.9057801570587,0.875585908447129,-12.1951219512195,1,0,0,NA
"6","ADAMS","TOWN OF DELL PRAIRIE","5500119575",5,"5500119575","55001","19575","DELL PRAIRIE","T","DELL PRAIRIE - T","DELL PRAIRIE - T","01008","01008","01008","001025","19575",NA,"2019/01/30",54960.2517748997,84709745.8653066,2.46575808083,86,162,410,391,0,1,"DELL PRAIRIE","DELL PRAIRIE",53.0864197530864,2818.16796220088,4.63414634146341,0,1008,"ADAMS COUNTY",381,959,0,0,0,24,24,0,570,993,0,0,0,29,29,1,0,0,57.4018126888217,39.7288842544317,-17.6729284343901,0,0,0,6.2992125984252,5.08771929824561,1.21149330017958,84.709745865448,1.57692650131313,-33.1578947368421,1,3.44827586206897,0,-100
"7","ADAMS","TOWN OF EASTON","5500122000",6,"5500122000","55001","22000","EASTON","T","EASTON - T","EASTON - T","01010","01010","01010","001030","22000",NA,"2019/01/30",42785.0026201399,93535503.5353355,2.66127981408788,84,211,522,505,0,1,"EASTON","EASTON",39.8104265402844,1584.87006131938,3.25670498084291,0,1010,"ADAMS COUNTY",277,583,0,0,0,23,23,0,339,567,0,0,0,11,11,0,0,0,59.7883597883598,47.5128644939966,-12.2754952943632,0,0,0,8.30324909747292,3.24483775811209,5.05841133936083,93.5355035354309,1.71932650670576,-18.2890855457227,1,0,0,NA
"20","ADAMS","VILLAGE OF FRIENDSHIP","5500127950",7,"5500127950","55001","27950","Friendship","V","Friendship - V","Friendship - V","01126","01126","01126","001035","27950",NA,"2019/01/30",8248.28833698381,2445486.19761067,5.69113310708154,113,254,725,672,0,1,"FRIENDSHIP","FRIENDSHIP",44.4881889763779,1979.19895839792,7.31034482758621,0,1126,"ADAMS COUNTY",169,323,0,0,0,15,15,0,197,322,0,0,0,22,0,0,0,0,61.1801242236025,52.3219814241486,-8.85814279945387,0,0,0,8.87573964497041,0,8.87573964497041,2.44548619755554,5.69192769789069,-14.2131979695431,1,0,0,NA
"8","ADAMS","TOWN OF JACKSON","5500137625",8,"5500137625","55001","37625","JACKSON","T","JACKSON - T","JACKSON - T","01012","01012","01012","001040","37625",NA,"2019/01/30",38474.2503704301,92312919.7207052,2.3968733210139,116,259,492,472,0,1,"JACKSON","JACKSON",44.7876447876448,2005.93312562425,4.0650406504065,0,1012,"ADAMS COUNTY",342,643,0,0,0,0,0,0,425,649,0,0,0,25,22,2,0,3,65.4853620955316,53.1881804043546,-12.297181691177,0,0,0,0,5.17647058823529,-5.17647058823529,92.3129197207489,1.67329460947308,-19.5294117647059,1,8,0,-100
"9","ADAMS","TOWN OF LEOLA","5500143425",9,"5500143425","55001","43425","LEOLA","T","LEOLA - T","LEOLA - T","01014","01014","01014","001045","43425",NA,"2019/01/30",40310.8674579373,96474833.9557277,1.16002708226392,19,133,308,294,0,1,"LEOLA","LEOLA",14.2857142857143,204.081632653061,4.54545454545455,0,1014,"ADAMS COUNTY",73,154,0,0,0,0,0,0,104,162,0,0,0,1,1,0,0,0,64.1975308641975,47.4025974025974,-16.7949334616001,0,0,0,0,0.961538461538462,-0.961538461538462,96.4748339558563,1.16081759666196,-29.8076923076923,1,0,0,NA
"10","ADAMS","TOWN OF LINCOLN","5500144250",10,"5500144250","55001","44250","LINCOLN","T","LINCOLN - T","LINCOLN - T","01016","01016","01016","001050","44250",NA,"2019/01/30",38954.0379631925,93501025.9424938,1.15160375531277,74,156,296,282,0,1,"LINCOLN","LINCOLN",47.4358974358974,2250.16436554898,4.72972972972973,0,1016,"ADAMS COUNTY",120,207,0,0,0,0,0,0,134,204,0,0,0,11,0,1,0,0,65.6862745098039,57.9710144927536,-7.7152600170503,0,0,0,0,0,0,93.5010259424133,1.15238704544349,-10.4477611940298,1,9.09090909090909,0,-100
