,Town.Name,totalvotes16,totalvotes20,difference,percent_diff
633,town of janesville,742,791,49,0.066037736
634,town of jefferson,748,681,-67,-0.089572193
635,town of johnson,85,66,-19,-0.223529412
636,town of johnstown,218,186,-32,-0.146788991
637,town of jordan,113,96,-17,-0.150442478
638,town of jump river,34,34,0,0
639,town of kaukauna,152,136,-16,-0.105263158
640,town of kelly,67,73,6,0.089552239
641,town of kendall,46,42,-4,-0.086956522
642,town of kennan,49,38,-11,-0.224489796
643,town of kewaskum,111,112,1,0.009009009
644,town of keystone,77,60,-17,-0.220779221
645,town of kickapoo,118,98,-20,-0.169491525
646,town of kildare,96,69,-27,-0.28125
647,town of kimball,71,112,41,0.577464789
648,town of king,190,178,-12,-0.063157895
649,town of kingston,58,44,-14,-0.24137931
650,town of kinnickinnic,272,295,23,0.084558824
651,town of knapp,47,39,-8,-0.170212766
652,town of knight,36,37,1,0.027777778
653,town of knowlton,315,276,-39,-0.123809524
654,town of knox,62,57,-5,-0.080645161
655,town of komensky,98,58,-40,-0.408163265
656,town of koshkonong,536,571,35,0.065298507
657,town of kossuth,287,220,-67,-0.233449477
658,town of la follette,76,77,1,0.013157895
659,town of la grange,575,586,11,0.019130435
660,town of la pointe,178,179,1,0.005617978
661,town of la prairie,137,118,-19,-0.138686131
662,town of la valle,225,232,7,0.031111111
663,town of lac du flambeau,589,458,-131,-0.222410866
664,town of lafayette,1257,1424,167,0.132856006
665,town of lake,367,308,-59,-0.160762943
666,town of lake holcombe,176,120,-56,-0.318181818
667,town of lake mills,422,550,128,0.303317536
668,town of lake tomahawk,169,178,9,0.053254438
669,town of lakeland,137,112,-25,-0.182481752
670,town of lakeside,123,107,-16,-0.130081301
671,town of laketown,110,144,34,0.309090909
672,town of lakewood,129,124,-5,-0.03875969
673,town of lamartine,191,179,-12,-0.062827225
674,town of lamont,56,57,1,0.017857143
675,town of lanark,311,262,-49,-0.15755627
676,town of land o-lakes,154,157,3,0.019480519
677,town of langlade,74,57,-17,-0.22972973
678,town of laona,173,132,-41,-0.23699422
679,town of larrabee,159,136,-23,-0.144654088
680,town of lawrence,685,821,136,0.198540146
681,town of lebanon,363,349,-14,-0.038567493
682,town of ledgeview,993,1331,338,0.340382679
683,town of leeds,167,154,-13,-0.077844311
684,town of lemonweir,209,191,-18,-0.086124402
685,town of lena,96,50,-46,-0.479166667
686,town of lenroot,244,228,-16,-0.06557377
687,town of leola,19,17,-2,-0.105263158
688,town of leon,318,253,-65,-0.204402516
689,town of leroy,92,75,-17,-0.184782609
690,town of lessor,116,97,-19,-0.163793103
691,town of levis,50,52,2,0.04
692,town of lewiston,262,200,-62,-0.236641221
693,town of liberty,387,345,-42,-0.108527132
694,town of liberty grove,586,619,33,0.056313993
695,town of lima,680,714,34,0.05
696,town of lincoln,1676,1623,-53,-0.031622912
697,town of lind,163,155,-8,-0.049079755
698,town of linden,128,104,-24,-0.1875
699,town of lindina,123,125,2,0.016260163
700,town of linn,296,334,38,0.128378378
701,town of linwood,213,189,-24,-0.112676056
702,town of lisbon,1296,1443,147,0.113425926
703,town of little black,109,83,-26,-0.23853211
704,town of little falls,208,158,-50,-0.240384615
705,town of little grant,34,19,-15,-0.441176471
706,town of little rice,40,51,11,0.275
707,town of little river,151,100,-51,-0.337748344
708,town of little suamico,620,587,-33,-0.053225806
709,town of little wolf,118,120,2,0.016949153
710,town of lodi,689,704,15,0.021770682
711,town of lomira,89,91,2,0.02247191
712,town of long lake,144,129,-15,-0.104166667
713,town of longwood,54,39,-15,-0.277777778
714,town of lorain,28,39,11,0.392857143
715,town of lowell,129,115,-14,-0.108527132
716,town of lowville,227,187,-40,-0.176211454
717,town of loyal,46,38,-8,-0.173913043
718,town of lucas,111,94,-17,-0.153153153
719,town of luck,120,125,5,0.041666667
720,town of ludington,168,144,-24,-0.142857143
721,town of luxemburg,158,103,-55,-0.348101266
722,town of lyndon,406,392,-14,-0.034482759
723,town of lynn,61,38,-23,-0.37704918
724,town of lynne,19,13,-6,-0.315789474
725,town of lyons,412,409,-3,-0.007281553
726,town of mackford,38,27,-11,-0.289473684
727,town of madge,113,99,-14,-0.123893805
728,town of madison,1500,1282,-218,-0.145333333
729,town of magnolia,136,141,5,0.036764706
730,town of maiden rock,69,63,-6,-0.086956522
731,town of maine,118,83,-35,-0.296610169
732,town of manchester,162,148,-14,-0.086419753
733,town of manitowish waters,93,116,23,0.247311828
734,town of manitowoc,166,152,-14,-0.084337349
735,town of manitowoc rapids,344,364,20,0.058139535
736,town of maple,172,155,-17,-0.098837209
737,town of maple creek,54,59,5,0.092592593
738,town of maple grove,275,236,-39,-0.141818182
739,town of maple plain,144,124,-20,-0.138888889
740,town of maple valley,81,66,-15,-0.185185185
741,town of maplehurst,32,30,-2,-0.0625
742,town of marathon,135,101,-34,-0.251851852
743,town of marcellon,156,150,-6,-0.038461538
744,town of marengo,99,87,-12,-0.121212121
745,town of marietta,85,71,-14,-0.164705882
746,town of marion,403,350,-53,-0.131513648
747,town of marquette,58,59,1,0.017241379
748,town of marshall,134,134,0,0
749,town of marshfield,218,206,-12,-0.055045872
750,town of martell,171,182,11,0.064327485
751,town of mason,60,49,-11,-0.183333333
752,town of matteson,102,85,-17,-0.166666667
753,town of maxville,31,32,1,0.032258065
754,town of mayville,62,58,-4,-0.064516129
755,town of mazomanie,277,258,-19,-0.068592058
756,town of mckinley,70,53,-17,-0.242857143
757,town of mcmillan,301,301,0,0
758,town of mead,42,25,-17,-0.404761905
759,town of meadowbrook,15,6,-9,-0.6
760,town of mecan,113,85,-28,-0.247787611
761,town of medary,319,355,36,0.112852665
762,town of medford,250,180,-70,-0.28
763,town of medina,345,295,-50,-0.144927536
764,town of meeme,203,188,-15,-0.073891626
765,town of meenon,87,92,5,0.057471264
766,town of melrose,65,42,-23,-0.353846154
767,town of menasha,2947,NA,NA,NA
768,town of menominee,561,293,-268,-0.47771836
769,town of menomonie,521,504,-17,-0.032629559
770,town of mentor,53,46,-7,-0.132075472
771,town of mercer,257,288,31,0.120622568
772,town of merrill,426,345,-81,-0.190140845
773,town of merrimac,209,273,64,0.306220096
774,town of merton,751,1081,330,0.439414115
775,town of meteor,22,18,-4,-0.181818182
776,town of metomen,84,68,-16,-0.19047619
777,town of middle inlet,126,115,-11,-0.087301587
778,town of middleton,1579,2039,460,0.291323623
779,town of mifflin,95,66,-29,-0.305263158
780,town of milford,156,176,20,0.128205128
781,town of milladore,104,85,-19,-0.182692308
782,town of millston,32,25,-7,-0.21875
783,town of milltown,140,145,5,0.035714286
784,town of millville,49,23,-26,-0.530612245
785,town of milton,578,664,86,0.148788927
786,town of mineral point,158,185,27,0.170886076
787,town of minocqua,700,800,100,0.142857143
788,town of minong,115,126,11,0.095652174
789,town of mishicot,168,131,-37,-0.220238095
790,town of mitchell,171,152,-19,-0.111111111
791,town of modena,66,43,-23,-0.348484848
792,town of molitor,43,36,-7,-0.162790698
793,town of mondovi,60,54,-6,-0.1
794,town of monico,28,25,-3,-0.107142857
795,town of monroe,314,290,-24,-0.076433121
796,town of montana,31,23,-8,-0.258064516
797,town of montello,187,142,-45,-0.240641711
798,town of monticello,4,6,2,0.5
799,town of montpelier,211,137,-74,-0.3507109
800,town of montrose,368,342,-26,-0.070652174
801,town of morgan,121,123,2,0.016528926
802,town of morris,74,51,-23,-0.310810811
803,town of morrison,147,127,-20,-0.136054422
804,town of morse,103,82,-21,-0.203883495
805,town of moscow,157,155,-2,-0.012738854
806,town of mosel,121,105,-16,-0.132231405
807,town of mosinee,332,265,-67,-0.201807229
808,town of moundville,83,67,-16,-0.192771084
809,town of mount hope,31,15,-16,-0.516129032
810,town of mount ida,62,60,-2,-0.032258065
811,town of mount morris,176,177,1,0.005681818
812,town of mount pleasant,145,140,-5,-0.034482759
813,town of mountain,135,132,-3,-0.022222222
814,town of mukwa,440,373,-67,-0.152272727
815,town of mukwonago,914,990,76,0.083150985
816,town of murry,28,27,-1,-0.035714286
817,town of muscoda,87,33,-54,-0.620689655
818,town of namakagon,71,79,8,0.112676056
819,town of naples,81,103,22,0.271604938
820,town of nasewaupee,372,363,-9,-0.024193548
821,town of nashville,173,148,-25,-0.144508671
822,town of navarino,53,43,-10,-0.188679245
823,town of necedah,227,208,-19,-0.083700441
824,town of neenah,652,796,144,0.220858896
825,town of nekimi,180,177,-3,-0.016666667
826,town of nelson,68,61,-7,-0.102941176
827,town of nepeuskun,104,88,-16,-0.153846154
828,town of neshkoro,77,63,-14,-0.181818182
829,town of neva,132,91,-41,-0.310606061
830,town of new chester,111,101,-10,-0.09009009
831,town of new denmark,264,208,-56,-0.212121212
832,town of new diggings,54,40,-14,-0.259259259
833,town of new glarus,309,365,56,0.181229773
834,town of new haven,184,185,1,0.005434783
835,town of new holstein,164,149,-15,-0.091463415
836,town of new hope,233,216,-17,-0.072961373
837,town of new lyme,24,21,-3,-0.125
838,town of newark,227,220,-7,-0.030837004
839,town of newbold,508,518,10,0.019685039
840,town of newport,103,110,7,0.067961165
841,town of newton,328,310,-18,-0.054878049
842,town of niagara,110,111,1,0.009090909
843,town of nokomis,266,238,-28,-0.105263158
844,town of norrie,137,128,-9,-0.065693431
845,town of north bend,72,58,-14,-0.194444444
846,town of north lancaster,53,47,-6,-0.113207547
847,town of northfield,94,76,-18,-0.191489362
848,town of norway,842,915,73,0.086698337
849,town of norwood,134,83,-51,-0.380597015
850,town of oak grove,483,458,-25,-0.051759834
851,town of oakdale,88,69,-19,-0.215909091
852,town of oakfield,80,77,-3,-0.0375
853,town of oakland,1062,1187,125,0.117702448
854,town of oasis,57,42,-15,-0.263157895
855,town of oconomowoc,944,1175,231,0.24470339
856,town of oconto,198,134,-64,-0.323232323
857,town of oconto falls,160,136,-24,-0.15
858,town of ogema,94,80,-14,-0.14893617
859,town of ojibwa,28,38,10,0.357142857
860,town of oma,53,75,22,0.41509434
861,town of omro,344,312,-32,-0.093023256
862,town of onalaska,1029,946,-83,-0.080660836
863,town of oneida,610,399,-211,-0.345901639
864,town of orange,83,48,-35,-0.421686747
865,town of oregon,982,1078,96,0.097759674
866,town of orienta,36,39,3,0.083333333
867,town of orion,95,110,15,0.157894737
868,town of osborn,145,161,16,0.110344828
869,town of osceola,494,549,55,0.111336032
870,town of oshkosh,415,445,30,0.072289157
871,town of otsego,154,115,-39,-0.253246753
872,town of ottawa,500,682,182,0.364
873,town of otter creek,139,132,-7,-0.050359712
874,town of oulu,130,124,-6,-0.046153846
875,town of oxford,114,106,-8,-0.070175439
876,town of pacific,514,535,21,0.040856031
877,town of packwaukee,218,171,-47,-0.21559633
878,town of palmyra,178,176,-2,-0.011235955
879,town of paris,296,275,-21,-0.070945946
880,town of parkland,242,200,-42,-0.173553719
881,town of parrish,14,13,-1,-0.071428571
882,town of patch grove,62,32,-30,-0.483870968
883,town of peck,49,33,-16,-0.326530612
884,town of peeksville,32,22,-10,-0.3125
885,town of pelican,502,393,-109,-0.217131474
886,town of pella,96,65,-31,-0.322916667
887,town of pembine,97,94,-3,-0.030927835
888,town of pence,39,35,-4,-0.102564103
889,town of pensaukee,183,152,-31,-0.169398907
890,town of pepin,114,129,15,0.131578947
891,town of perry,241,225,-16,-0.066390041
892,town of pershing,28,20,-8,-0.285714286
893,town of peru,24,33,9,0.375
894,town of peshtigo,673,551,-122,-0.18127786
895,town of phelps,186,172,-14,-0.075268817
896,town of piehl,13,15,2,0.153846154
897,town of pierce,170,121,-49,-0.288235294
898,town of pigeon,131,92,-39,-0.297709924
899,town of pilsen,64,63,-1,-0.015625
900,town of pine grove,117,76,-41,-0.35042735
901,town of pine lake,548,490,-58,-0.105839416
902,town of pine river,269,227,-42,-0.156133829
903,town of pine valley,149,146,-3,-0.020134228
904,town of pittsfield,377,351,-26,-0.068965517
905,town of plainfield,42,40,-2,-0.047619048
906,town of platteville,243,246,3,0.012345679
907,town of pleasant springs,859,909,50,0.058207218
908,town of pleasant valley,726,764,38,0.052341598
909,town of plover,306,300,-6,-0.019607843
910,town of plum lake,94,111,17,0.180851064
911,town of plymouth,727,714,-13,-0.017881706
912,town of polar,136,126,-10,-0.073529412
913,town of polk,377,405,28,0.074270557
914,town of popple river,6,7,1,0.166666667
915,town of port edwards,215,171,-44,-0.204651163
916,town of port washington,190,224,34,0.178947368
917,town of port wing,119,119,0,0
918,town of porter,268,266,-2,-0.007462687
919,town of porterfield,238,221,-17,-0.071428571
920,town of portland,288,236,-52,-0.180555556
921,town of potosi,89,92,3,0.033707865
922,town of pound,140,123,-17,-0.121428571
923,town of poy sippi,93,61,-32,-0.344086022
924,town of poygan,193,163,-30,-0.155440415
925,town of prairie du chien,123,135,12,0.097560976
926,town of prairie du sac,227,223,-4,-0.017621145
927,town of prairie farm,85,58,-27,-0.317647059
928,town of prairie lake,191,186,-5,-0.02617801
929,town of prentice,61,45,-16,-0.262295082
930,town of presque isle,137,166,29,0.211678832
931,town of preston,342,299,-43,-0.125730994
932,town of price,27,31,4,0.148148148
933,town of primrose,219,231,12,0.054794521
934,town of princeton,189,189,0,0
935,town of pulaski,60,44,-16,-0.266666667
936,town of quincy,192,174,-18,-0.09375
937,town of radisson,58,22,-36,-0.620689655
938,town of randall,387,364,-23,-0.059431525
939,town of randolph,70,55,-15,-0.214285714
940,town of rantoul,68,58,-10,-0.147058824
941,town of red cedar,289,314,25,0.08650519
942,town of red river,205,147,-58,-0.282926829
943,town of red springs,176,137,-39,-0.221590909
944,town of reedsburg,189,183,-6,-0.031746032
945,town of reid,175,123,-52,-0.297142857
946,town of remington,29,27,-2,-0.068965517
947,town of reseburg,50,52,2,0.04
948,town of rhine,367,356,-11,-0.029972752
949,town of rib falls,86,69,-17,-0.197674419
950,town of rib lake,81,64,-17,-0.209876543
951,town of rib mountain,1103,1111,8,0.007252947
952,town of rice lake,362,380,18,0.049723757
953,town of richfield,204,171,-33,-0.161764706
954,town of richford,47,36,-11,-0.234042553
955,town of richland,237,196,-41,-0.172995781
956,town of richmond,822,762,-60,-0.072992701
957,town of richwood,105,85,-20,-0.19047619
958,town of ridgeville,81,80,-1,-0.012345679
959,town of ridgeway,159,143,-16,-0.100628931
960,town of rietbrock,101,78,-23,-0.227722772
961,town of ringle,252,233,-19,-0.075396825
962,town of ripon,165,182,17,0.103030303
963,town of river falls,395,444,49,0.124050633
964,town of riverview,150,131,-19,-0.126666667
965,town of rock,615,478,-137,-0.222764228
966,town of rock creek,146,136,-10,-0.068493151
967,town of rock elm,64,56,-8,-0.125
968,town of rock falls,85,81,-4,-0.047058824
969,town of rockbridge,154,134,-20,-0.12987013
970,town of rockland,353,356,3,0.008498584
971,town of rolling,194,143,-51,-0.262886598
972,town of rome,536,569,33,0.061567164
973,town of roosevelt,70,49,-21,-0.3
974,town of rose,118,113,-5,-0.042372881
975,town of rosendale,89,80,-9,-0.101123596
976,town of ross,12,6,-6,-0.5
977,town of round lake,163,199,36,0.220858896
978,town of roxbury,405,470,65,0.160493827
979,town of royalton,158,122,-36,-0.227848101
980,town of rubicon,199,200,1,0.005025126
981,town of ruby,65,34,-31,-0.476923077
982,town of rudolph,170,152,-18,-0.105882353
983,town of rush river,75,75,0,0
984,town of rushford,235,175,-60,-0.255319149
985,town of rusk,151,122,-29,-0.19205298
986,town of russell,460,361,-99,-0.215217391
987,town of rutland,600,571,-29,-0.048333333
988,town of saint lawrence,79,81,2,0.025316456
989,town of salem,1443,45,-1398,-0.968814969
990,town of sampson,101,115,14,0.138613861
991,town of sanborn,233,148,-85,-0.364806867
992,town of sand creek,92,72,-20,-0.217391304
993,town of sand lake,231,218,-13,-0.056277056
994,town of saratoga,735,664,-71,-0.096598639
995,town of sarona,40,48,8,0.2
996,town of saukville,201,223,22,0.109452736
997,town of saxeville,133,141,8,0.060150376
998,town of saxon,59,55,-4,-0.06779661
999,town of scandinavia,186,183,-3,-0.016129032
1000,town of schleswig,291,272,-19,-0.065292096
1001,town of schley,99,73,-26,-0.262626263
1002,town of schoepke,55,66,11,0.2
1003,town of scott,1305,1240,-65,-0.049808429
1004,town of seif,35,32,-3,-0.085714286
1005,town of seneca,420,389,-31,-0.073809524
1006,town of sevastopol,600,672,72,0.12
1007,town of seven mile creek,40,40,0,0
1008,town of seymour,801,750,-51,-0.063670412
1009,town of shanagolden,22,27,5,0.227272727
1010,town of sharon,525,425,-100,-0.19047619
1011,town of sheboygan,1188,1250,62,0.052188552
1012,town of sheboygan falls,188,216,28,0.14893617
1013,town of shelby,1105,1098,-7,-0.006334842
1014,town of sheldon,49,38,-11,-0.224489796
1015,town of sheridan,54,50,-4,-0.074074074
1016,town of sherman,392,354,-38,-0.096938776
1017,town of sherry,115,82,-33,-0.286956522
1018,town of sherwood,47,58,11,0.234042553
1019,town of shields,177,140,-37,-0.209039548
1020,town of shullsburg,42,35,-7,-0.166666667
1021,town of sigel,324,285,-39,-0.12037037
1022,town of silver cliff,74,91,17,0.22972973
1023,town of sioux creek,66,84,18,0.272727273
1024,town of siren,105,123,18,0.171428571
1025,town of skanawan,65,76,11,0.169230769
1026,town of smelser,101,104,3,0.02970297
1027,town of solon springs,210,141,-69,-0.328571429
1028,town of somers,180,142,-38,-0.211111111
1029,town of somerset,421,461,40,0.095011876
1030,town of somo,21,23,2,0.095238095
1031,town of south fork,21,13,-8,-0.380952381
1032,town of south lancaster,76,86,10,0.131578947
1033,town of sparta,464,429,-35,-0.075431034
1034,town of spencer,180,156,-24,-0.133333333
1035,town of spider lake,54,109,55,1.018518519
1036,town of spirit,38,49,11,0.289473684
1037,town of spooner,132,108,-24,-0.181818182
1038,town of spring brook,208,237,29,0.139423077
1039,town of spring green,382,420,38,0.09947644
1040,town of spring grove,140,99,-41,-0.292857143
1041,town of spring lake,67,61,-6,-0.089552239
1042,town of spring prairie,261,283,22,0.084291188
1043,town of spring valley,142,114,-28,-0.197183099
1044,town of springbrook,64,61,-3,-0.046875
1045,town of springdale,542,619,77,0.142066421
1046,town of springfield,905,949,44,0.048618785
1047,town of springvale,186,177,-9,-0.048387097
1048,town of springville,172,141,-31,-0.180232558
1049,town of springwater,206,196,-10,-0.048543689
1050,town of spruce,113,65,-48,-0.424778761
1051,town of st. croix falls,121,127,6,0.049586777
1052,town of st. germain,319,324,5,0.015673981
1053,town of st. joseph,603,479,-124,-0.205638474
1054,town of st. marie,45,46,1,0.022222222
1055,town of stanfold,75,80,5,0.066666667
1056,town of stanley,271,249,-22,-0.081180812
1057,town of stanton,183,204,21,0.114754098
1058,town of star prairie,292,315,23,0.078767123
1059,town of stark,83,84,1,0.012048193
1060,town of stella,139,104,-35,-0.251798561
1061,town of stephenson,441,413,-28,-0.063492063
1062,town of sterling,131,145,14,0.106870229
1063,town of stettin,349,343,-6,-0.017191977
1064,town of stiles,181,157,-24,-0.132596685
1065,town of stinnett,27,19,-8,-0.296296296
1066,town of stockbridge,200,170,-30,-0.15
1067,town of stockholm,46,62,16,0.347826087
1068,town of stockton,575,499,-76,-0.132173913
1069,town of stone lake,75,55,-20,-0.266666667
1070,town of strickland,46,44,-2,-0.043478261
1071,town of strongs prairie,170,148,-22,-0.129411765
1072,town of stubbs,92,66,-26,-0.282608696
1073,town of sturgeon bay,162,144,-18,-0.111111111
1074,town of sugar camp,269,274,5,0.018587361
1075,town of sugar creek,541,521,-20,-0.036968577
1076,town of sullivan,285,269,-16,-0.056140351
1077,town of summit,383,331,-52,-0.135770235
1078,town of sumner,386,379,-7,-0.018134715
1079,town of sumpter,123,117,-6,-0.048780488
1080,town of sun prairie,569,568,-1,-0.001757469
1081,town of superior,439,393,-46,-0.104783599
1082,town of swiss,116,91,-25,-0.215517241
1083,town of sylvan,71,56,-15,-0.211267606
1084,town of sylvester,171,161,-10,-0.058479532
1085,town of taft,36,30,-6,-0.166666667
1086,town of tainter,383,409,26,0.067885117
1087,town of taycheedah,567,616,49,0.086419753
1088,town of texas,271,213,-58,-0.21402214
1089,town of theresa,92,92,0,0
1090,town of thornapple,100,49,-51,-0.51
1091,town of thorp,73,55,-18,-0.246575342
1092,town of three lakes,348,294,-54,-0.155172414
1093,town of tiffany,61,62,1,0.016393443
1094,town of tilden,233,250,17,0.072961373
1095,town of tipler,8,10,2,0.25
1096,town of tomah,198,184,-14,-0.070707071
1097,town of tomahawk,72,65,-7,-0.097222222
1098,town of townsend,190,167,-23,-0.121052632
1099,town of trade lake,83,100,17,0.204819277
1100,town of trego,162,151,-11,-0.067901235
1101,town of trempealeau,289,299,10,0.034602076
1102,town of trenton,861,826,-35,-0.040650407
1103,town of trimbelle,207,162,-45,-0.217391304
1104,town of tripp,45,43,-2,-0.044444444
1105,town of troy,1179,1273,94,0.079728584
1106,town of true,41,35,-6,-0.146341463
1107,town of turtle,382,346,-36,-0.094240838
1108,town of turtle lake,66,45,-21,-0.318181818
1109,town of two creeks,74,57,-17,-0.22972973
1110,town of two rivers,275,219,-56,-0.203636364
1111,town of underhill,121,88,-33,-0.272727273
1112,town of union,1399,1272,-127,-0.090779128
1113,town of unity,159,136,-23,-0.144654088
1114,town of upham,101,108,7,0.069306931
1115,town of utica,346,315,-31,-0.089595376
1116,town of vance creek,89,70,-19,-0.213483146
1117,town of vandenbroek,194,146,-48,-0.24742268
1118,town of vermont,312,340,28,0.08974359
1119,town of vernon,879,1023,144,0.163822526
1120,town of verona,553,625,72,0.130198915
1121,town of vienna,333,334,1,0.003003003
1122,town of vilas,22,6,-16,-0.727272727
1123,town of vinland,348,340,-8,-0.022988506
1124,town of viroqua,361,273,-88,-0.243767313
1125,town of wabeno,174,102,-72,-0.413793103
1126,town of wagner,84,75,-9,-0.107142857
1127,town of waldwick,120,109,-11,-0.091666667
1128,town of walworth,166,162,-4,-0.024096386
1129,town of warner,55,50,-5,-0.090909091
1130,town of warren,254,250,-4,-0.015748031
1131,town of wascott,133,138,5,0.037593985
1132,town of washburn,205,221,16,0.07804878
1133,town of washington,2591,2561,-30,-0.011578541
1134,town of waterford,630,834,204,0.323809524
1135,town of waterloo,202,196,-6,-0.02970297
1136,town of watertown,266,232,-34,-0.127819549
1137,town of waterville,93,63,-30,-0.322580645
1138,town of watterstown,56,44,-12,-0.214285714
1139,town of waubeek,40,48,8,0.2
1140,town of waukechon,109,80,-29,-0.266055046
1141,town of waukesha,1112,1307,195,0.175359712
1142,town of waumandee,64,90,26,0.40625
1143,town of waupaca,163,131,-32,-0.196319018
1144,town of waupun,172,140,-32,-0.186046512
1145,town of wausau,318,299,-19,-0.059748428
1146,town of wausaukee,153,131,-22,-0.14379085
1147,town of wautoma,184,179,-5,-0.027173913
1148,town of wauzeka,65,71,6,0.092307692
1149,town of wayne,206,218,12,0.058252427
1150,town of webb lake,58,68,10,0.172413793
1151,town of webster,167,141,-26,-0.155688623
1152,town of weirgor,36,34,-2,-0.055555556
1153,town of wellington,86,93,7,0.081395349
1154,town of wells,88,82,-6,-0.068181818
1155,town of wescott,421,364,-57,-0.135391924
1156,town of west bend,514,704,190,0.369649805
1157,town of west kewaunee,187,123,-64,-0.342245989
1158,town of west marshland,29,31,2,0.068965517
1159,town of west point,440,537,97,0.220454545
1160,town of west sweden,91,88,-3,-0.032967033
1161,town of westboro,69,50,-19,-0.275362319
1162,town of westfield,184,186,2,0.010869565
1163,town of westford,314,300,-14,-0.044585987
1164,town of weston,230,201,-29,-0.126086957
1165,town of westport,1194,1300,106,0.088777219
1166,town of weyauwega,57,49,-8,-0.140350877
1167,town of wheatland,502,520,18,0.035856574
1168,town of wheaton,454,435,-19,-0.04185022
1169,town of white oak springs,14,13,-1,-0.071428571
1170,town of white river,129,91,-38,-0.294573643
1171,town of whitestown,68,82,14,0.205882353
1172,town of whitewater,252,270,18,0.071428571
1173,town of wien,101,78,-23,-0.227722772
1174,town of wilkinson,5,5,0,0
1175,town of willard,58,52,-6,-0.103448276
1176,town of williamstown,92,NA,NA,NA
1177,town of willow,79,74,-5,-0.063291139
1178,town of willow springs,117,80,-37,-0.316239316
1179,town of wilson,821,791,-30,-0.036540804
1180,town of wilton,64,51,-13,-0.203125
1181,town of winchester,351,348,-3,-0.008547009
1182,town of winfield,151,136,-15,-0.099337748
1183,town of wingville,48,52,4,0.083333333
1184,town of winneconne,402,370,-32,-0.07960199
1185,town of winter,160,138,-22,-0.1375
1186,town of wiota,138,114,-24,-0.173913043
1187,town of withee,69,46,-23,-0.333333333
1188,town of wittenberg,97,77,-20,-0.206185567
1189,town of wolf river,266,234,-32,-0.120300752
1190,town of wonewoc,110,87,-23,-0.209090909
1191,town of wood,121,124,3,0.024793388
1192,town of wood river,88,83,-5,-0.056818182
1193,town of woodboro,151,154,3,0.01986755
1194,town of woodland,104,132,28,0.269230769
1195,town of woodman,21,16,-5,-0.238095238
1196,town of woodmohr,149,137,-12,-0.080536913
1197,town of woodruff,377,333,-44,-0.116710875
1198,town of woodville,111,82,-29,-0.261261261
1199,town of worcester,254,293,39,0.153543307
1200,town of worden,45,43,-2,-0.044444444
1201,town of wrightstown,289,299,10,0.034602076
1202,town of wyalusing,85,66,-19,-0.223529412
1203,town of wyocena,334,311,-23,-0.068862275
1204,town of wyoming,146,154,8,0.054794521
1205,town of york,494,523,29,0.058704453
1206,village of adell,46,42,-4,-0.086956522
1207,village of albany,248,165,-83,-0.334677419
1208,village of allouez,2757,2693,-64,-0.023213638
1209,village of alma center,97,71,-26,-0.268041237
1210,village of almena,59,40,-19,-0.322033898
1211,village of almond,58,39,-19,-0.327586207
1212,village of amherst,227,232,5,0.022026432
1213,village of amherst junction,56,58,2,0.035714286
1214,village of aniwa,28,20,-8,-0.285714286
1215,village of arena,190,147,-43,-0.226315789
1216,village of argyle,172,119,-53,-0.308139535
1217,village of arlington,137,157,20,0.145985401
1218,village of arpin,43,19,-24,-0.558139535
1219,village of ashwaubenon,2880,2743,-137,-0.047569444
1220,village of athens,119,117,-2,-0.016806723
1221,village of auburndale,93,66,-27,-0.290322581
1222,village of avoca,101,64,-37,-0.366336634
1223,village of bagley,64,42,-22,-0.34375
1224,village of baldwin,372,489,117,0.314516129
1225,village of balsam lake,106,81,-25,-0.235849057
1226,village of bangor,287,243,-44,-0.153310105
1227,village of barneveld,253,232,-21,-0.083003953
1228,village of bay city,59,39,-20,-0.338983051
1229,village of bayside,1334,1663,329,0.246626687
1230,village of bear creek,36,35,-1,-0.027777778
1231,village of belgium,244,272,28,0.114754098
1232,village of bell center,28,22,-6,-0.214285714
1233,village of belleville,624,679,55,0.088141026
1234,village of bellevue,2205,2204,-1,-0.000453515
1235,village of belmont,129,165,36,0.279069767
1236,village of benton,159,152,-7,-0.044025157
1237,village of big bend,145,155,10,0.068965517
1238,village of big falls,11,4,-7,-0.636363636
1239,village of birchwood,55,46,-9,-0.163636364
1240,village of birnamwood,103,63,-40,-0.388349515
1241,village of biron,149,138,-11,-0.073825503
1242,village of black creek,152,132,-20,-0.131578947
1243,village of black earth,401,393,-8,-0.019950125
1244,village of blanchardville,177,183,6,0.033898305
1245,village of bloomfield,477,344,-133,-0.278825996
1246,village of bloomington,120,82,-38,-0.316666667
1247,village of blue mounds,267,270,3,0.011235955
1248,village of blue river,68,61,-7,-0.102941176
1249,village of boaz,30,20,-10,-0.333333333
1250,village of bonduel,150,100,-50,-0.333333333
1251,village of bowler,50,25,-25,-0.5
1252,village of boyceville,106,98,-8,-0.075471698
1253,village of boyd,83,63,-20,-0.240963855
1254,village of brandon,82,80,-2,-0.024390244
1255,village of bristol,601,654,53,0.088186356
1256,village of brokaw,59,NA,NA,NA
1257,village of brooklyn,343,339,-4,-0.011661808
1258,village of brown deer,3107,2908,-199,-0.064048922
1259,village of brownsville,55,54,-1,-0.018181818
1260,village of browntown,36,26,-10,-0.277777778
1261,village of bruce,92,77,-15,-0.163043478
1262,village of butler,241,267,26,0.107883817
1263,village of butternut,65,53,-12,-0.184615385
