,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,,641,
,ADAMS - CITY OF ADAMS - WARD 1,3,1,
,ADAMS - CITY OF ADAMS - WARD 2,3,2,
,ADAMS - CITY OF ADAMS - WARD 3,2,4,
,ADAMS - CITY OF ADAMS - WARD 4,4,17,
,ADAMS - TOWN OF ADAMS - WARD 1,13,1,
,ADAMS - TOWN OF ADAMS - WARD 2,1,,
,ADAMS - TOWN OF ADAMS - WARD 3,4,1,
,ADAMS - TOWN OF BIG FLATS - WARD 1,2,2,
,ADAMS - TOWN OF BIG FLATS - WARD 2,4,,
,ADAMS - TOWN OF COLBURN - WARD 1,1,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,3,2,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,18,3,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,1,,
,ADAMS - TOWN OF EASTON - WARD 1,5,,
,ADAMS - TOWN OF EASTON - WARD 2,4,1,
,ADAMS - TOWN OF JACKSON - WARD 1,6,3,
,ADAMS - TOWN OF JACKSON - WARD 2,10,1,
,ADAMS - TOWN OF LEOLA - WARD 1,1,,
,ADAMS - TOWN OF LINCOLN - WARD 1,11,2,
,ADAMS - TOWN OF MONROE - WARD 1,11,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,7,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,1,1,
,ADAMS - TOWN OF NEW HAVEN - WARD,8,7,
,ADAMS - TOWN OF PRESTON - WARD 1,10,3,
,ADAMS - TOWN OF PRESTON - WARD 2,4,1,
,ADAMS - TOWN OF QUINCY - WARD 1,18,2,
,ADAMS - TOWN OF QUINCY - WARD 2,2,,
,ADAMS - TOWN OF QUINCY - WARD 3,3,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,1,,
,ADAMS - TOWN OF ROME - WARD 1,11,2,
,ADAMS - TOWN OF ROME - WARD 2,26,4,
,ADAMS - TOWN OF ROME - WARD 3,23,5,
,ADAMS - TOWN OF ROME - WARD 4,29,4,
,ADAMS - TOWN OF ROME - WARD 5,21,3,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,1,1,
