,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,ADAMS - CITY OF ADAMS - WARD 2,3,,
,ADAMS - TOWN OF ADAMS - WARD 1,2,,
,ADAMS - TOWN OF ADAMS - WARD 2,1,,
,ADAMS - TOWN OF BIG FLATS - WARD 2,2,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,2,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,3,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,1,,
,ADAMS - TOWN OF EASTON - WARD 1,2,,
,ADAMS - TOWN OF EASTON - WARD 2,1,,
,ADAMS - TOWN OF JACKSON - WARD 2,7,,
,ADAMS - TOWN OF MONROE - WARD 1,1,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,2,,
,ADAMS - TOWN OF NEW HAVEN - WARD,6,,
,ADAMS - TOWN OF PRESTON - WARD 1,1,,
,ADAMS - TOWN OF PRESTON - WARD 2,1,,
,ADAMS - TOWN OF QUINCY - WARD 1,1,,
,ADAMS - TOWN OF QUINCY - WARD 2,2,,
,ADAMS - TOWN OF ROME - WARD 1,2,,
,ADAMS - TOWN OF ROME - WARD 2,2,,
,ADAMS - TOWN OF ROME - WARD 3,1,,
,ADAMS - TOWN OF ROME - WARD 4,1,,
,ADAMS - TOWN OF ROME - WARD 5,1,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,1,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,1,,
,ASHLAND - CITY OF ASHLAND - WARD 1,7,,
,ASHLAND - CITY OF ASHLAND - WARD 10,2,,
,ASHLAND - CITY OF ASHLAND - WARD 11,3,,
,ASHLAND - CITY OF ASHLAND - WARD 2,4,,
,ASHLAND - CITY OF ASHLAND - WARD 3,2,,
,ASHLAND - CITY OF ASHLAND - WARD 4,8,,
,ASHLAND - CITY OF ASHLAND - WARD 5,2,,
,ASHLAND - CITY OF ASHLAND - WARD 6,5,,
,ASHLAND - CITY OF ASHLAND - WARD 7,5,,
,ASHLAND - CITY OF ASHLAND - WARD 8,4,,
,ASHLAND - CITY OF ASHLAND - WARD 9,7,,
,ASHLAND - TOWN OF AGENDA - WARD 1,1,,
