,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,,640,
,ADAMS - CITY OF ADAMS - WARD 1,12,3,
,ADAMS - CITY OF ADAMS - WARD 2,25,2,
,ADAMS - CITY OF ADAMS - WARD 3,12,,
,ADAMS - CITY OF ADAMS - WARD 4,10,,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,2,1,
,ADAMS - TOWN OF ADAMS - WARD 1,24,5,
,ADAMS - TOWN OF ADAMS - WARD 2,8,,
,ADAMS - TOWN OF ADAMS - WARD 3,1,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,15,1,
,ADAMS - TOWN OF BIG FLATS - WARD 2,9,,
,ADAMS - TOWN OF COLBURN - WARD 1,2,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,15,2,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,32,2,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,6,,
,ADAMS - TOWN OF EASTON - WARD 1,11,,
,ADAMS - TOWN OF EASTON - WARD 2,12,1,
,ADAMS - TOWN OF JACKSON - WARD 1,8,,
,ADAMS - TOWN OF JACKSON - WARD 2,13,,
,ADAMS - TOWN OF LEOLA - WARD 1,14,1,
,ADAMS - TOWN OF LINCOLN - WARD 1,17,,
,ADAMS - TOWN OF MONROE - WARD 1,9,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,9,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,14,3,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,2,,
,ADAMS - TOWN OF NEW HAVEN - WARD,31,3,
,ADAMS - TOWN OF PRESTON - WARD 1,21,3,
,ADAMS - TOWN OF PRESTON - WARD 2,16,1,
,ADAMS - TOWN OF QUINCY - WARD 1,20,2,
,ADAMS - TOWN OF QUINCY - WARD 2,5,1,
,ADAMS - TOWN OF QUINCY - WARD 3,5,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,6,,
,ADAMS - TOWN OF ROME - WARD 1,11,1,
,ADAMS - TOWN OF ROME - WARD 2,9,1,
,ADAMS - TOWN OF ROME - WARD 3,8,1,
,ADAMS - TOWN OF ROME - WARD 4,8,2,
