,,Voter Status,,
,ASHLAND - CITY OF ASHLAND - WARD 8,2,1,
,ASHLAND - CITY OF ASHLAND - WARD 9,4,,
,ASHLAND - TOWN OF GINGLES - WARD 1,3,1,
,ASHLAND - TOWN OF GORDON - WARD 1,1,,
,ASHLAND - TOWN OF GORDON - WARD 2,2,,
,ASHLAND - TOWN OF LA POINTE - WARD 1,1,1,
,ASHLAND - TOWN OF MORSE - WARD 1,1,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,1,,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,1,,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,1,,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,1,,
,BARRON - CITY OF BARRON - WARD 1,2,,
,BARRON - CITY OF BARRON - WARD 2,5,1,
,BARRON - CITY OF BARRON - WARD 5,2,,
,BARRON - CITY OF BARRON - WARD 6,1,,
,BARRON - CITY OF CHETEK - WARD 1,1,,
,BARRON - CITY OF CHETEK - WARD 3,1,,
,BARRON - CITY OF CUMBERLAND - WARD 1,1,,
,BARRON - CITY OF CUMBERLAND - WARD 2,1,,
,BARRON - CITY OF CUMBERLAND - WARD 3,3,1,
,BARRON - CITY OF RICE LAKE - WARD 1,1,,
,BARRON - CITY OF RICE LAKE - WARD 11,2,1,
,BARRON - CITY OF RICE LAKE - WARD 2,1,,
,BARRON - CITY OF RICE LAKE - WARD 3,3,1,
,BARRON - CITY OF RICE LAKE - WARD 4,1,,
,BARRON - CITY OF RICE LAKE - WARD 5,5,,
,BARRON - CITY OF RICE LAKE - WARD 6,1,,
,BARRON - CITY OF RICE LAKE - WARD 8,2,,
,BARRON - CITY OF RICE LAKE - WARD 9,1,,
,BARRON - TOWN OF ALMENA - WARD 1,1,,
,BARRON - TOWN OF ARLAND - WARD 1,1,,
,BARRON - TOWN OF BEAR LAKE - WARD 1,1,1,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,11,,
,BARRON - TOWN OF CHETEK - WARD 1,,1,
,BARRON - TOWN OF CLINTON - WARD 1,3,,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,1,,
,BARRON - TOWN OF CUMBERLAND - WARD 1,3,,
,BARRON - TOWN OF DALLAS - WARD 1,2,,
,BARRON - TOWN OF LAKELAND - WARD 2,2,,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,1,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,1,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,2,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,1,,
,BARRON - TOWN OF RICE LAKE - WARD 1,3,,
,BARRON - TOWN OF RICE LAKE - WARD 2,8,,
,BARRON - TOWN OF RICE LAKE - WARD 3,3,,
,BARRON - TOWN OF RICE LAKE - WARD 4,1,,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,1,,
,BARRON - TOWN OF STANLEY - WARD 2,3,,
,BARRON - TOWN OF STANLEY - WARD 3,3,,
,BARRON - TOWN OF STANLEY - WARD 4,1,,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,2,,
,BARRON - TOWN OF VANCE CREEK - WARD 1,1,,
,BARRON - VILLAGE OF ALMENA - WARD 1,1,,
,BARRON - VILLAGE OF CAMERON - WARD 1,1,,
,BARRON - VILLAGE OF CAMERON - WARD 2,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,1,,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,1,,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,2,,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,2,,
,BAYFIELD - CITY OF WASHBURN - WARD 1,5,1,
,BAYFIELD - CITY OF WASHBURN - WARD 2,3,,
,BAYFIELD - CITY OF WASHBURN - WARD 3,5,,
,BAYFIELD - CITY OF WASHBURN - WARD 4,3,,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,2,,
,BAYFIELD - TOWN OF BARNES - WARD 1,5,,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,4,,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,1,,
,BAYFIELD - TOWN OF BELL - WARD 1,4,,
,BAYFIELD - TOWN OF CABLE - WARD 1,4,,
,BAYFIELD - TOWN OF CLOVER - WARD 1,1,1,
,BAYFIELD - TOWN OF EILEEN - WARD 1,2,,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,2,,
,BAYFIELD - TOWN OF HUGHES - WARD 1,2,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,2,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,2,,
,BAYFIELD - TOWN OF KELLY - WARD 1,2,,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,1,,
,BAYFIELD - TOWN OF PILSEN - WARD 1,1,,
,BAYFIELD - TOWN OF PORT WING - WARD 1,2,,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,1,,
,BAYFIELD - TOWN OF TRIPP - WARD 1,1,,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,,1,
,BROWN - CITY OF DE PERE - WARD 1,23,,
,BROWN - CITY OF DE PERE - WARD 10,6,,
,BROWN - CITY OF DE PERE - WARD 11,,1,
,BROWN - CITY OF DE PERE - WARD 12,12,2,
,BROWN - CITY OF DE PERE - WARD 13,23,2,
,BROWN - CITY OF DE PERE - WARD 14,14,,
,BROWN - CITY OF DE PERE - WARD 15,21,2,
,BROWN - CITY OF DE PERE - WARD 2,25,,
,BROWN - CITY OF DE PERE - WARD 3,16,1,
,BROWN - CITY OF DE PERE - WARD 4,16,1,
,BROWN - CITY OF DE PERE - WARD 5,4,2,
,BROWN - CITY OF DE PERE - WARD 6,19,1,
,BROWN - CITY OF DE PERE - WARD 7,29,,
,BROWN - CITY OF DE PERE - WARD 8,3,,
,BROWN - CITY OF DE PERE - WARD 9,10,,
,BROWN - CITY OF GREEN BAY - WARD 10,4,,
,BROWN - CITY OF GREEN BAY - WARD 11,5,,
,BROWN - CITY OF GREEN BAY - WARD 12,6,,
,BROWN - CITY OF GREEN BAY - WARD 13,3,1,
,BROWN - CITY OF GREEN BAY - WARD 14,4,,
,BROWN - CITY OF GREEN BAY - WARD 15,16,,
,BROWN - CITY OF GREEN BAY - WARD 16,10,,
,BROWN - CITY OF GREEN BAY - WARD 17,5,,
,BROWN - CITY OF GREEN BAY - WARD 18,9,,
,BROWN - CITY OF GREEN BAY - WARD 19,2,1,
,BROWN - CITY OF GREEN BAY - WARD 2,18,,
,BROWN - CITY OF GREEN BAY - WARD 20,4,1,
,BROWN - CITY OF GREEN BAY - WARD 21,7,1,
,BROWN - CITY OF GREEN BAY - WARD 22,4,3,
,BROWN - CITY OF GREEN BAY - WARD 23,4,,
,BROWN - CITY OF GREEN BAY - WARD 24,2,1,
,BROWN - CITY OF GREEN BAY - WARD 25,10,1,
,BROWN - CITY OF GREEN BAY - WARD 26,10,2,
,BROWN - CITY OF GREEN BAY - WARD 28,4,,
,BROWN - CITY OF GREEN BAY - WARD 29,11,,
,BROWN - CITY OF GREEN BAY - WARD 3,12,,
,BROWN - CITY OF GREEN BAY - WARD 30,12,,
,BROWN - CITY OF GREEN BAY - WARD 31,4,,
,BROWN - CITY OF GREEN BAY - WARD 32,1,,
,BROWN - CITY OF GREEN BAY - WARD 33,3,,
,BROWN - CITY OF GREEN BAY - WARD 34,10,,
,BROWN - CITY OF GREEN BAY - WARD 35,5,1,
,BROWN - CITY OF GREEN BAY - WARD 36,2,,
,BROWN - CITY OF GREEN BAY - WARD 37,5,,
,BROWN - CITY OF GREEN BAY - WARD 38,8,1,
,BROWN - CITY OF GREEN BAY - WARD 39,2,4,
,BROWN - CITY OF GREEN BAY - WARD 4,4,2,
,BROWN - CITY OF GREEN BAY - WARD 40,11,,
,BROWN - CITY OF GREEN BAY - WARD 41,6,,
,BROWN - CITY OF GREEN BAY - WARD 42,3,,
,BROWN - CITY OF GREEN BAY - WARD 43,17,1,
,BROWN - CITY OF GREEN BAY - WARD 44,4,1,
,BROWN - CITY OF GREEN BAY - WARD 45,16,,
,BROWN - CITY OF GREEN BAY - WARD 46,13,1,
,BROWN - CITY OF GREEN BAY - WARD 47,6,,
,BROWN - CITY OF GREEN BAY - WARD 5,5,,
,BROWN - CITY OF GREEN BAY - WARD 6,15,1,
,BROWN - CITY OF GREEN BAY - WARD 7,8,1,
,BROWN - CITY OF GREEN BAY - WARD 8,10,,
,BROWN - CITY OF GREEN BAY - WARD 9,4,1,
,BROWN - TOWN OF GLENMORE - WARD 2,1,,
,BROWN - TOWN OF GREEN BAY - WARD 1,4,,
,BROWN - TOWN OF GREEN BAY - WARD 2,3,,
,BROWN - TOWN OF GREEN BAY - WARD 3,4,,
,BROWN - TOWN OF HOLLAND - WARD 1,2,,
,BROWN - TOWN OF LAWRENCE - WARD 1,11,,
,BROWN - TOWN OF LAWRENCE - WARD 2,5,,
,BROWN - TOWN OF LAWRENCE - WARD 3,6,1,
,BROWN - TOWN OF LAWRENCE - WARD 4,3,,
,BROWN - TOWN OF LAWRENCE - WARD 5,10,,
,BROWN - TOWN OF LAWRENCE - WARD 6,12,1,
,BROWN - TOWN OF LEDGEVIEW - WARD 1,3,,
,BROWN - TOWN OF LEDGEVIEW - WARD 10,19,,
,BROWN - TOWN OF LEDGEVIEW - WARD 2,8,,
,BROWN - TOWN OF LEDGEVIEW - WARD 3,8,,
,BROWN - TOWN OF LEDGEVIEW - WARD 4,15,2,
,BROWN - TOWN OF LEDGEVIEW - WARD 5,7,1,
,BROWN - TOWN OF LEDGEVIEW - WARD 6,3,,
,BROWN - TOWN OF LEDGEVIEW - WARD 7,21,,
,BROWN - TOWN OF LEDGEVIEW - WARD 8,10,,
,BROWN - TOWN OF LEDGEVIEW - WARD 9,9,,
,BROWN - TOWN OF MORRISON - WARD 1,2,,
,BROWN - TOWN OF MORRISON - WARD 2,2,,
,BROWN - TOWN OF NEW DENMARK - WARD 1,1,,
,BROWN - TOWN OF NEW DENMARK - WARD 2,1,,
,BROWN - TOWN OF PITTSFIELD - WARD 1,1,,
,BROWN - TOWN OF PITTSFIELD - WARD 2,4,,
,BROWN - TOWN OF PITTSFIELD - WARD 3,3,,
,BROWN - TOWN OF ROCKLAND - WARD 1,6,,
,BROWN - TOWN OF ROCKLAND - WARD 3,8,,
,BROWN - TOWN OF SCOTT - WARD 1,4,1,
,BROWN - TOWN OF SCOTT - WARD 2,5,,
,BROWN - TOWN OF SCOTT - WARD 3,6,,
,BROWN - TOWN OF SCOTT - WARD 4,8,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 2,1,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 3,1,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 1,13,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 2,8,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 3,11,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 4,23,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 5,12,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 6,22,2,
,BROWN - VILLAGE OF ALLOUEZ - WARD 7,22,1,
,BROWN - VILLAGE OF ALLOUEZ - WARD 8,18,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 1,10,3,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 10,22,1,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 11,14,1,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 12,11,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 2,1,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 3,3,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 4,8,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 5,9,1,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 6,15,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 7,10,1,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 8,12,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 9,12,,
,BROWN - VILLAGE OF BELLEVUE - WARD 1,6,,
,BROWN - VILLAGE OF BELLEVUE - WARD 10,24,,
,BROWN - VILLAGE OF BELLEVUE - WARD 2,6,,
,BROWN - VILLAGE OF BELLEVUE - WARD 3,5,1,
,BROWN - VILLAGE OF BELLEVUE - WARD 4,7,,
,BROWN - VILLAGE OF BELLEVUE - WARD 5,8,1,
,BROWN - VILLAGE OF BELLEVUE - WARD 6,18,,
,BROWN - VILLAGE OF BELLEVUE - WARD 7,26,,
,BROWN - VILLAGE OF BELLEVUE - WARD 8,13,1,
,BROWN - VILLAGE OF BELLEVUE - WARD 9,25,1,
,BROWN - VILLAGE OF DENMARK - WARD 2,1,,
,BROWN - VILLAGE OF HOBART - WARD 1,22,2,
,BROWN - VILLAGE OF HOBART - WARD 2,15,2,
,BROWN - VILLAGE OF HOBART - WARD 3,7,,
,BROWN - VILLAGE OF HOBART - WARD 4,13,,
,BROWN - VILLAGE OF HOBART - WARD 5,15,2,
,BROWN - VILLAGE OF HOBART - WARD 6,7,,
,BROWN - VILLAGE OF HOBART - WARD 7,5,,
,BROWN - VILLAGE OF HOBART - WARD 8,14,,
,BROWN - VILLAGE OF HOWARD - WARD 1,3,,
,BROWN - VILLAGE OF HOWARD - WARD 10,17,,
,BROWN - VILLAGE OF HOWARD - WARD 11,8,1,
,BROWN - VILLAGE OF HOWARD - WARD 12,6,,
,BROWN - VILLAGE OF HOWARD - WARD 13,12,2,
,BROWN - VILLAGE OF HOWARD - WARD 14,10,,
,BROWN - VILLAGE OF HOWARD - WARD 15,12,1,
,BROWN - VILLAGE OF HOWARD - WARD 16,7,,
,BROWN - VILLAGE OF HOWARD - WARD 18,5,,
,BROWN - VILLAGE OF HOWARD - WARD 2,5,,
,BROWN - VILLAGE OF HOWARD - WARD 3,1,,
,BROWN - VILLAGE OF HOWARD - WARD 4,5,2,
,BROWN - VILLAGE OF HOWARD - WARD 5,1,,
,BROWN - VILLAGE OF HOWARD - WARD 6,6,,
,BROWN - VILLAGE OF HOWARD - WARD 7,15,2,
,BROWN - VILLAGE OF HOWARD - WARD 8,15,,
,BROWN - VILLAGE OF HOWARD - WARD 9,14,,
,BROWN - VILLAGE OF PULASKI - WARD 1,3,,
,BROWN - VILLAGE OF PULASKI - WARD 2,5,,
,BROWN - VILLAGE OF PULASKI - WARD 3,4,,
,BROWN - VILLAGE OF PULASKI - WARD 6,4,,
,BROWN - VILLAGE OF SUAMICO - WARD 1,14,1,
,BROWN - VILLAGE OF SUAMICO - WARD 2,8,,
,BROWN - VILLAGE OF SUAMICO - WARD 3,16,1,
,BROWN - VILLAGE OF SUAMICO - WARD 4,17,1,
,BROWN - VILLAGE OF SUAMICO - WARD 5,24,,
,BROWN - VILLAGE OF SUAMICO - WARD 6,20,1,
,BROWN - VILLAGE OF SUAMICO - WARD 7,16,1,
,BROWN - VILLAGE OF SUAMICO - WARD 8,33,3,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 1,2,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 2,6,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 3,5,1,
,BUFFALO - CITY OF ALMA - WARD 1,1,,
,BUFFALO - CITY OF BUFFALO - WARD 1,1,1,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 2,1,,
,BUFFALO - CITY OF MONDOVI - WARD 1,6,,
,BUFFALO - CITY OF MONDOVI - WARD 2,4,,
,BUFFALO - CITY OF MONDOVI - WARD 3,3,,
,BUFFALO - TOWN OF ALMA - WARD 1,1,,
,BUFFALO - TOWN OF BUFFALO - WARD 1,2,,
,BUFFALO - TOWN OF DOVER - WARD 1,1,,
,BUFFALO - TOWN OF GLENCOE - WARD 1,,1,
,BUFFALO - TOWN OF MILTON - WARD 1,2,,
,BUFFALO - TOWN OF MONDOVI - WARD 1,1,,
,BUFFALO - TOWN OF NAPLES - WARD 1,1,,
,BUFFALO - TOWN OF WAUMANDEE - WARD 1,2,,
,BURNETT - TOWN OF ANDERSON - WARD 1,2,,
,BURNETT - TOWN OF GRANTSBURG - WARD 2,2,,
,BURNETT - TOWN OF JACKSON - WARD 1,1,1,
,BURNETT - TOWN OF MEENON - WARD 2,1,,
,BURNETT - TOWN OF SAND LAKE - WARD 1,1,,
,BURNETT - TOWN OF SIREN - WARD 2,1,,
,BURNETT - TOWN OF TRADE LAKE - WARD 1,1,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 1,4,,
,BURNETT - VILLAGE OF SIREN - WARD 1,2,,
,BURNETT - VILLAGE OF WEBSTER - WARD 1,2,,
,BURNETT - VILLAGE OF WEBSTER - WARD 2,1,,
,CALUMET - CITY OF APPLETON - WARD 12,7,,
,CALUMET - CITY OF APPLETON - WARD 13,12,1,
,CALUMET - CITY OF APPLETON - WARD 14,8,1,
,CALUMET - CITY OF APPLETON - WARD 26,3,,
,CALUMET - CITY OF APPLETON - WARD 44,11,,
,CALUMET - CITY OF APPLETON - WARD 45,19,,
,CALUMET - CITY OF BRILLION - WARD 2,1,,
,CALUMET - CITY OF BRILLION - WARD 4,3,,
,CALUMET - CITY OF CHILTON - WARD 1,1,,
,CALUMET - CITY OF CHILTON - WARD 2,3,,
,CALUMET - CITY OF CHILTON - WARD 4,3,,
,CALUMET - CITY OF CHILTON - WARD 5,3,,
,CALUMET - CITY OF KIEL - WARD 7,1,1,
,CALUMET - CITY OF MENASHA - WARD 16,5,1,
,CALUMET - CITY OF MENASHA - WARD 17,9,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 2,4,1,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 3,9,1,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 4,2,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 5,4,,
,CALUMET - TOWN OF BROTHERTOWN - WARD 1,1,,
,CALUMET - TOWN OF BROTHERTOWN - WARD 2,2,,
,CALUMET - TOWN OF CHARLESTOWN - WARD 1,2,,
,CALUMET - TOWN OF CHILTON - WARD 1,2,1,
,CALUMET - TOWN OF CHILTON - WARD 2,4,,
,CALUMET - TOWN OF NEW HOLSTEIN - WARD 2,1,,
,CALUMET - TOWN OF NEW HOLSTEIN - WARD 3,4,,
,CALUMET - TOWN OF RANTOUL - WARD 1,3,,
,CALUMET - TOWN OF STOCKBRIDGE - WARD 1,3,1,
,CALUMET - TOWN OF STOCKBRIDGE - WARD 2,1,,
,CALUMET - TOWN OF STOCKBRIDGE - WARD 3,3,,
,CALUMET - TOWN OF WOODVILLE - WARD 1,2,,
,CALUMET - VILLAGE OF HARRISON - WARD 10,25,,
,CALUMET - VILLAGE OF HARRISON - WARD 11,25,,
,CALUMET - VILLAGE OF HARRISON - WARD 12,24,,
,CALUMET - VILLAGE OF HARRISON - WARD 13,28,1,
,CALUMET - VILLAGE OF HARRISON - WARD 14,2,,
,CALUMET - VILLAGE OF HARRISON - WARD 15,5,,
,CALUMET - VILLAGE OF HARRISON - WARD 16,7,,
,CALUMET - VILLAGE OF HARRISON - WARD 17,5,,
,CALUMET - VILLAGE OF HARRISON - WARD 18,15,1,
,CALUMET - VILLAGE OF HARRISON - WARD 3,28,,
,CALUMET - VILLAGE OF HARRISON - WARD 4,27,1,
,CALUMET - VILLAGE OF HARRISON - WARD 5,12,,
,CALUMET - VILLAGE OF HARRISON - WARD 6,9,,
,CALUMET - VILLAGE OF HARRISON - WARD 7,13,,
,CALUMET - VILLAGE OF HARRISON - WARD 8,6,,
,CALUMET - VILLAGE OF HARRISON - WARD 9,13,,
,CALUMET - VILLAGE OF HILBERT - WARD 1,6,,
,CALUMET - VILLAGE OF SHERWOOD - WARD 1,2,,
,CALUMET - VILLAGE OF SHERWOOD - WARD 2,3,1,
,CALUMET - VILLAGE OF SHERWOOD - WARD 3,4,,
,CALUMET - VILLAGE OF SHERWOOD - WARD 4,5,,
,CALUMET - VILLAGE OF STOCKBRIDGE - WARD 1,2,,
,CHIPPEWA - CITY OF BLOOMER - WARD 1,1,,
,CHIPPEWA - CITY OF BLOOMER - WARD 2,4,,
,CHIPPEWA - CITY OF BLOOMER - WARD 3,3,1,
,CHIPPEWA - CITY OF BLOOMER - WARD 4,3,,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 1,4,,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 2,5,,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 3,11,2,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 4,10,2,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 5,7,1,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 6,3,1,
,CHIPPEWA - CITY OF CHIPPEWA FALLS - WARD 7,4,,
,CHIPPEWA - CITY OF CORNELL - WARD 1,2,,
,CHIPPEWA - CITY OF CORNELL - WARD 3,1,,
,CHIPPEWA - CITY OF CORNELL - WARD 4,2,,
,CHIPPEWA - CITY OF EAU CLAIRE - WARD 16,8,1,
,CHIPPEWA - CITY OF EAU CLAIRE - WARD 41,2,,
,CHIPPEWA - CITY OF STANLEY - WARD 1,4,,
,CHIPPEWA - CITY OF STANLEY - WARD 2,1,,
,CHIPPEWA - CITY OF STANLEY - WARD 3,2,,
,CHIPPEWA - TOWN OF ANSON - WARD 1,2,1,
,CHIPPEWA - TOWN OF ANSON - WARD 2,3,2,
,CHIPPEWA - TOWN OF ANSON - WARD 3,2,,
,CHIPPEWA - TOWN OF ARTHUR - WARD 1,2,,
,CHIPPEWA - TOWN OF AUBURN - WARD 1,1,,
,CHIPPEWA - TOWN OF BIRCH CREEK - WARD 1,7,,
,CHIPPEWA - TOWN OF BLOOMER - WARD 2,2,,
,CHIPPEWA - TOWN OF COOKS VALLEY - WARD 1,2,,
,CHIPPEWA - TOWN OF EAGLE POINT - WARD 1,5,,
,CHIPPEWA - TOWN OF EAGLE POINT - WARD 2,1,,
,CHIPPEWA - TOWN OF EAGLE POINT - WARD 3,2,,
,CHIPPEWA - TOWN OF EAGLE POINT - WARD 4,3,,
,CHIPPEWA - TOWN OF EAGLE POINT - WARD 5,1,,
,CHIPPEWA - TOWN OF ESTELLA - WARD 1,3,,
,CHIPPEWA - TOWN OF GOETZ - WARD 1,1,,
,CHIPPEWA - TOWN OF GOETZ - WARD 2,1,,
,CHIPPEWA - TOWN OF HOWARD - WARD 1,1,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 1,7,1,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 3,8,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 4,2,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 5,9,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 6,4,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 7,3,,
,CHIPPEWA - TOWN OF LAFAYETTE - WARD 9,5,,
,CHIPPEWA - TOWN OF LAKE HOLCOMBE - WARD 1,2,1,
,CHIPPEWA - TOWN OF LAKE HOLCOMBE - WARD 2,1,,
,CHIPPEWA - TOWN OF RUBY - WARD 1,,1,
,CHIPPEWA - TOWN OF SAMPSON - WARD 1,2,1,
,CHIPPEWA - TOWN OF SIGEL - WARD 1,1,,
,CHIPPEWA - TOWN OF TILDEN - WARD 1,4,,
,CHIPPEWA - TOWN OF TILDEN - WARD 3,,1,
,CHIPPEWA - TOWN OF WHEATON - WARD 1,3,,
,CHIPPEWA - TOWN OF WHEATON - WARD 2,4,,
,CHIPPEWA - TOWN OF WOODMOHR - WARD 1,1,,
,CHIPPEWA - TOWN OF WOODMOHR - WARD 2,1,,
,CHIPPEWA - VILLAGE OF CADOTT - WARD 1,1,,
,CHIPPEWA - VILLAGE OF CADOTT - WARD 2,3,,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 1,4,,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 2,6,,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 3,5,1,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 4,1,1,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 5,1,2,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 6,3,,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 7,,1,
,CHIPPEWA - VILLAGE OF LAKE HALLIE - WARD 8,2,,
,CHIPPEWA - VILLAGE OF NEW AUBURN - WARD 1,1,,
,CLARK - CITY OF ABBOTSFORD - WARD 3,2,,
,CLARK - CITY OF ABBOTSFORD - WARD 5,1,1,
,CLARK - CITY OF COLBY - WARD 2,2,,
,CLARK - CITY OF GREENWOOD - WARD 1,2,,
,CLARK - CITY OF GREENWOOD - WARD 2,2,,
,CLARK - CITY OF LOYAL - WARD 1,2,1,
,CLARK - CITY OF LOYAL - WARD 2,1,,
,CLARK - CITY OF NEILLSVILLE - WARD 1,2,,
,CLARK - CITY OF NEILLSVILLE - WARD 2,3,,
,CLARK - CITY OF NEILLSVILLE - WARD 3,3,,
,CLARK - CITY OF OWEN - WARD 1,1,,
,CLARK - CITY OF OWEN - WARD 2,1,,
,CLARK - TOWN OF COLBY - WARD 2,1,,
,CLARK - TOWN OF COLBY - WARD 3,1,,
,CLARK - TOWN OF GRANT - WARD 2,1,,
,CLARK - TOWN OF GREEN GROVE - WARD 1,1,,
,CLARK - TOWN OF LEVIS - WARD 1,,1,
,CLARK - TOWN OF MAYVILLE - WARD 1,1,,
,CLARK - TOWN OF PINE VALLEY - WARD 1,1,,
